59	DateUtils Utils oct MDT truncate DAY MST hour Calendar lang result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare ValuedEnum Valued Enum Enum typesafe Valued Object values compare enums int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils result Calendar Duration set Format Time currentTimeMillis current Time Millis returns getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	Test Unescape unescape void test unescapeXml unescape Xml Number Exception Entity testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf Builder length noticed reference Buf fixing LANG	StrBuilder usages thisBuf length size Str Builder Buf
299	method str append StrBuilder Str Builder Width appendFixedWidthPadRight append Fixed Width Pad width Fixed Char pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception throws Format create isDigits Digits Digits Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception cAvailableLocaleSet Locale Set LocaleUtils Locale Utils cAvailableSet Set Set availableLocaleSet Locale Set Exception lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch suspend pause acts split counter Time continue time	StopWatch suspend acts split Watch
328	toLocale Locale Locale LocaleUtils Locale Utils language strings country POSIX rejects Utils toString String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds Calendar rounding behaves TimeZone Time Zone Time incorrectly getTimeZone Time Zone testCalendar test Calendar	Dates behaves incorrectly minutes seconds
363	Escape escapeJavaScript escape Java Script Java String StringEscapeUtils String Escape Utils escape Script Utils script JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils case Utils toBoolean Boolean false Exception String StringIndexOutOfBoundsException String Bounds Exception Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance FastDateFormat Fast Format Locale locale Instance Time key Hash Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Summary Fraction reduce pretty infinite numerator	infinite loop Fraction reduce numerator
393	compare equals Big comparing Decimal don BigDecimal Big Decimal EqualsBuilder Equals Builder compareTo compare BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	null appendFixedWidth append Fixed Width Null handle exception StrBuilder Str Builder Text nulls fixed Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	abbreviate length WordUtils Word Utils str string upper String substring adjusted greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs insensitive case Bug string intended html handling Common String	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Bounds createNumber create Number Exception NumberUtils Number Utils thows throws Number digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended Message format ExtendedMessageFormat Extended Message Format String formatRegistry format Registry formatted code ExtendedMessageFormatTest Extended Message Format Test	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html StringEscapeUtils String Escape Utils String unicode characters println Escape escape Html UTF	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	isNumber Number Number NumberUtils Number Utils number decimal foundDigit Digit Digit return Decimal BigDecimal Big Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format TimeZone Time Zone FastDateFormat Fast Format GMT GregorianCalendar Gregorian Calendar DateFormatUtils Format Utils dateTime Time	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils null replace Utils replacement replacementList replacement List Test result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String thread builder org ThreadLocals Thread Locals lang commons created	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils throws NPE null Class array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number throws NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String Exception Format Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format Format week locale Fast format SimpleDateFormat Simple Format Week year Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN apache Equals commons Denominator getDenominator Denominator org method	org apache commons lang math Fraction reduce Integer MIN
664	isNumber Number Number String NumberUtils Number Utils Utils Digit foundDigit Digit Exp return chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Time method Local setTimeInMillis set Time Millis class Calendar DAY	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format FastDateFormat Fast Format SimpleDateFormat Simple Format Java format formats Fast JDK Simple	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
