59	DateUtils Utils oct MDT truncate DAY hour Calendar lang result MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare ValuedEnum Valued Enum compare Enum Valued enums Object typesafe int values	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar result currentTimeMillis current Time Millis Format returns getTimeInMillis Time Millis Time set	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void unescape test unescapeXml unescape Xml testNumberOverflow test Number Overflow Unescape Exception Xml EntitiesTest Entities Test	unescapeXml unescape Xml
295	StrBuilder Str Builder thisBuf Buf Str Builder length usages noticed Buf reference LANG	StrBuilder usages thisBuf length size Str Builder Buf
299	appendFixedWidthPadRight append Fixed Width Pad Width append str width StrBuilder Str Builder method Char pad padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception throws Utils Digits create isDigits Digits Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Locale Null cAvailableLocaleSet Locale Set availableLocaleSet Locale Set LocaleUtils Locale Utils Exception Set Pointer lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch suspend pause acts continue resume Time sleep split	StopWatch suspend acts split Watch
328	toLocale Locale Locale LocaleUtils Locale Utils language strings rejects country variant throws toString String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds behaves Time incorrectly TimeZone Time Zone Dates getTimeZone Time Zone GMT	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script Java Escape StringEscapeUtils String Escape Utils escape Script String JavascriptEscape Javascript Escape Javascript java	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean String Utils toBoolean Boolean StringIndexOutOfBoundsException String Bounds Exception case false Exception test	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance getDateInstance Instance FastDateFormat Fast Format Locale locale Instance Time Format assume Fast	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Summary Fraction reduce infinite numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Decimal Big don comparing EqualsBuilder Equals Builder compareTo compare BigDecimals Big Decimals correctly	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width null handle StrBuilder Str Builder nulls getNullText Null Text Str Builder exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils abbreviate length string str upper greater String substring Word	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bug case string Bugs intended handling html String sensitive	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String createNumber create Number NumberUtils Number Utils thows Number Bounds throws Exception passed	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message Extended ExtendedMessageFormat Extended Message Format format String formatRegistry format Registry formatted ExtendedMessageFormatTest Extended Message Format Test formattedPattern formatted Pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html unicode StringEscapeUtils String Escape Utils String characters utf Escape incorrectly escape UTF	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils decimal number Digit return BigDecimal Big Decimal Decimal Return	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time Format format TimeZone Time Zone FastDateFormat Fast Format dateTime Time GMT DateFormatUtils Format Utils getTimeZone Time Zone	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String StringUtils String Utils replaceEach replace replace Utils replacement replacementList replacement List null Test result	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String ThreadLocals Thread Locals created HashCodeBuilder Hash Code Builder trigger builder leaks	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils throws NPE null Class array	ClassUtils toClass Object throws NPE null array element Class Utils Class
