59	DateUtils Utils MDT truncate Calendar hour oct lang MST result method	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare ValuedEnum Valued Enum compare Enum Valued Object typesafe values int enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration DurationFormatUtils Duration Format Utils result Time returns currentTimeMillis current Time Millis Calendar set getTimeInMillis Time Millis wrong	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF unescape FFFF unescapeXml unescape Xml Unescape EntitiesTest Entities Test Test Xml test Overflow	unescapeXml unescape Xml
295	thisBuf Buf StrBuilder Str Builder length Buf usages Str Builder reference places noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width Fixed width appendFixedWidthPadRight append Fixed Width Pad method pad StrBuilder Str Builder append size	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberUtils Number Utils createNumber create Number Number throws NumberFormatException Number Format Exception Utils Digits create Format isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception availableLocaleSet Locale Set Null LocaleUtils Locale Utils Set Pointer isAvailableLocale Locale cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend pause StopWatch Watch Watch acts getTime Time split Time bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils strings language rejects variant throws Utils exception	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds behaves incorrectly getTime Time Dates Time TimeZone Time Zone DateUtils Utils	Dates behaves incorrectly minutes seconds
363	StringEscapeUtils String Escape Utils String escape Escape escapeJavaScript escape Java Script javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape Javascript script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement invalid false drop Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale FastDateFormat Fast Format Instance locale assume	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Summary Fraction reduce infinite numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Decimal don Big EqualsBuilder Equals Builder BigDecimals Big Decimals comparing correctly Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width handle StrBuilder Str Builder nulls null Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils abbreviate Word str string length upper String greater bug	WordUtils abbreviate bug greater str length Word Utils
