59	MDT DateUtils Utils truncate MST hour oct lang result method buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued compareTo compare ValuedEnum Valued Enum compare Enum Object typesafe enums int easily	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration result returns Calendar set getTimeInMillis Time Millis wrong cal currentTimeMillis current Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF unescape Unescape FFFF unescapeXml unescape Xml Test Xml test Overflow	unescapeXml unescape Xml
295	StrBuilder Str Builder length thisBuf Buf Str Builder usages reference places Buf noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width appendFixedWidthPadRight append Fixed Width Pad width method pad StrBuilder Str Builder strLen str Len append Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberUtils Number Utils Number createNumber create Number throws NumberFormatException Number Format Exception Digits Utils isDigits Digits create Format	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception Null LocaleUtils Locale Utils Set Pointer availableLocaleSet Locale Set isAvailableLocale Locale cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch getTime Time Watch suspend Time acts split pause bug	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils strings language rejects variant throws Utils exception	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds behaves TimeZone Time Zone incorrectly Dates getTime Time Time Calendar getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	escape Escape escapeJavaScript escape Java Script javaScriptEscape java Script Escape StringEscapeUtils String Escape Utils JavaScriptUtils Java Script Utils script Java String Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Utils statement invalid false drop Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale FastDateFormat Fast Format Instance locale assume	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop Summary Fraction reduce infinite numerator	infinite loop Fraction reduce numerator
393	compare don Big comparing EqualsBuilder Equals Builder Decimal BigDecimals Big Decimals BigDecimal Big Decimal correctly compareTo compare	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null appendFixedWidth append Fixed Width handle StrBuilder Str Builder nulls null Str Builder append Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	abbreviate string WordUtils Word Utils String length upper str greater substring bug	WordUtils abbreviate bug greater str length Word Utils
432	Bug insensitive case string intended handling Bugs String sensitive Case	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number String digit NumberUtils Number Utils thows LANG Number Bounds Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format ExtendedMessageFormat Extended Message Format Extended Message FORMAT formatRegistry format Registry formatted custom String	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters utf escapeHtml escape Html StringEscapeUtils String Escape Utils incorrectly String Characters escape Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number NumberUtils Number Utils isNumber Number decimal Digit number return Return True point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone format DateFormatUtils Format Utils GMT Format GregorianCalendar Gregorian Calendar getTimeZone Time Zone cal	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace StringUtils String Utils String replaceEach replace replacement null Utils result Bug Missing	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals created thread HashCodeBuilder Hash Code Builder trigger leak builder String	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object ClassUtils Class Utils throws NPE null Class array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils Number createNumber create Number throws StringIndexOutOfBoundsException String Bounds Exception String passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format locale Format format firstDayOfWeek Day Week Fast Locale Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction apache commons getDenominator Denominator Integer org Denominator denominator MIN FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils Number isNumber Number String return Utils Java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Utils Assert Local assert class work assertFalse assert False method	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format JDK year SimpleDateFormat Simple Format Java format Javadoc formats Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	NumberUtils Number Utils Number handle upper case Integer hex	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils numbers Long handle createLong create Long create Integer hex createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class primitive primitiveType primitive Type ClassNotFoundException Class Exception ObjectInputStream Object Input Stream SerializationUtilsTest Serialization Utils Test Utils primitiveTypeClassSerialization primitive Type Class Serialization	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars null empty length code size false count Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils throws confusing start RandomStringUtils Random String Utils Utils IAE	RandomStringUtils throws confusing IAE start Random String Utils
822	NumberUtils Number Utils Number createNumber create Number behaviour leading bad create checks	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white space SimpleDateFormat Simple Format handle parse Fast treats parsed specially	FastDateParser handle white space properly Fast Parser
832	quotes SimpleDateFormat Simple Format unterminated handle FastDateParser Fast Parser handled parse correctly Fast parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence char accepts lookupMap lookup Map HashMap Hash Map LookupTranslator Lookup Translator lookup String Escape	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
