59	DateUtils Utils MDT Calendar Utils Equals lang hour buggy DST MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare Enum ValuedEnum Valued Enum values typesafe compare classes Object org lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis Calendar String currentTimeMillis current Time Millis Dec Utils set	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test xFFFF FFFF Unescape FFFF doTestUnescapeEntity Test Unescape Entity Test Entity reference entity	unescapeXml unescape Xml
295	thisBuf Buf Buf StrBuilder Str Builder length Str Builder LANG shouldn size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str Width width size pad Pad Fixed padChar pad Char strLen str Len appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number Exception Format NumberFormatException Number Format Exception Utils string works Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set Locale Exception availableLocaleSet Locale Set Bugs LocaleUtils Locale Utils FindBugs Find Bugs Null Pointer NullPointerException Null Pointer Exception	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time pause time counter getTime Time shouldn acts suspend opinion split	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils country language case POSIX Utils code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds DateUtils Utils Time getTime Time System TimeZone Time Zone test println	Dates behaves incorrectly minutes seconds
363	String javaScriptEscape java Script Escape Javascripts scripts Escape JavascriptEscape Javascript Escape Javascript StringEscapeUtils String Escape Utils escape JavaScriptUtils Java Script Utils	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Exception test Utils statement source String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance locale Locale case FastDateFormat Fast Format Time Format Instance methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary Fraction loop numerator	infinite loop Fraction reduce numerator
393	Decimal BigDecimal Big Decimal compareTo compare Big Decimals compare EqualsBuilder Equals Builder Builder comparing BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null pointer width getNullText Null Text Builder Fixed appendFixedWidth append Fixed Width null StrBuilder Str Builder Width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	String string str Word WordUtils Word Utils length StringIndexOutOfBoundsException String Bounds Exception Utils Exception substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug http locale Case String html case details string	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Exception String LANG digit Bounds front Utils Number NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern code Extended escapingOn escaping Message appendTo append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	utf escapeHtml escape Html StringEscapeUtils String Escape Utils unicode Html String characters Escape escape import	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number return Utils code NumberUtils Number Utils Digit block Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Zone getTimeZone Time Zone Format GMT GregorianCalendar Gregorian Calendar format test	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace StringUtils String Utils replacement replacementList replacement List Utils case Test import List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread leak org String Style LANG reference web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class NPE toClass Class Utils Object element array ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils Number Exception String createNumber create Number StringIndexOutOfBoundsException String Bounds Exception Format Utils indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale Week SimpleDateFormat Simple Format Format format Locale Simple import	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Denominator Integer MIN FractionTest Fraction Test test method code case	org apache commons lang math Fraction reduce Integer MIN
664	Number return isNumber Number NumberUtils Number Utils hasDecPoint Dec Point code java change String hasExp Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Local Utils Assert Millis setTimeInMillis set Time Millis HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	Format JDK format SimpleDateFormat Simple Format pattern Java Javadoc year FastDateFormat Fast Format number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case Utils Integer NumberFormatException Number Format Exception Format Exception	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers createLong create Long Long NumberUtils Number Utils createNumber create Number hex Utils Hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization primitiveType primitive Type SerializationUtils Serialization Utils ObjectInputStream Object Input Stream Class Exception ClassNotFoundException Class Exception Input Loader noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	length Int size int char code null ends nextInt Int empty	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils String source problem lang Int IllegalArgumentException Illegal Argument Exception Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal BigDecimal Big Decimal Big behaviour work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser SimpleDateFormat Simple Format FDP Parser dates SDP Format parse space Javadoc	FastDateParser handle white space properly Fast Parser
832	parse SimpleDateFormat Simple Format quotes format FastDateParser Fast Parser Format Simple parsed Parser FDP	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence char StringEscapeUtils String Escape Utils Sequence Buffer work CharBuffer Char Buffer Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
