59	Utils DAY Equals buggy MDT hours Calendar method oct MST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe values Enum Object classes org commons int compareTo compare ValuedEnum Valued Enum	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar String Time DurationFormatUtils Duration Format Utils set Duration Utils Period result formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	test Entity Test EntitiesTest Entities Test Unescape reference doTestUnescapeEntity Test Unescape Entity void entity Number	unescapeXml unescape Xml
295	Str Builder length StrBuilder Str Builder LANG thisBuf Buf Buf fixing reference noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	str int size method width Pad Width pad Char Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Format Exception Number works string NumberFormatException Number Format Exception createNumber create Number NumberUtils Number Utils Utils isDigits Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Exception Null Bugs Locale FindBugs Find Bugs cAvailableSet Set Pointer org commons lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	counter Time time sleep acts pause suspend opinion StopWatch Watch Thread	StopWatch suspend acts split Watch
328	Locale language country case Utils POSIX toLocale Locale LocaleUtils Locale Utils code Property	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar seconds test Mon minutes Time System testCalendar test Calendar MINUTE println	Dates behaves incorrectly minutes seconds
363	String Escape Utils org Java Script script System str expression	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case Exception Utils String test statement toBoolean Boolean BooleanUtils Boolean Utils Patch	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Time locale Format Instance FastDateFormat Fast Format case Hash key Patch methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce pretty infinite numerator Summary	infinite loop Fraction reduce numerator
393	Big compareTo compare EqualsBuilder Equals Builder Decimals equals Equals Decimal compare BigDecimal Big Decimal Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	pointer Builder exception getNullText Null Text Str Fixed Null Width width Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string Utils String Exception StringIndexOutOfBoundsException String Bounds Exception Bounds Word adjusted	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case Bug case handling locale sensitive http String html	case insensitive string handling
457	Exception String Bounds NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception Utils Number front LANG place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Extended format code Format Message String return Style java title	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String test unicode Escape class representation data void StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number number Exp return Digit Dec hasExp Exp Point Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format Zone format test TimeZone Time Zone unit Utils final	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	Utils String replacement case Test List replaceEach replace org StringUtils String Utils code	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String thread Style application web reference leak leaks	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Class Object Utils element toClass Class NPE array null ClassUtils Class Utils throws	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Exception Number NumberUtils Number Utils String Format Utils StringIndexOutOfBoundsException String Bounds Exception throws Bounds NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale Simple week format number Week Fast set FastDateFormat Fast Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
