59	Equals DAY MDT Utils DST assertEquals assert Equals Calendar hours dealing DateUtils Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum classes typesafe values compareTo compare org int Object enums ValuedEnum Valued Enum	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils String Duration Time getTimeInMillis Time Millis currentTimeMillis current Time Millis code DAY Format	DurationFormatUtils returns wrong result Duration Format Utils
292	test EntitiesTest Entities Test Test doTestUnescapeEntity Test Unescape Entity Entity testNumberOverflow test Number Overflow void Exception unescapeXml unescape Xml Unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Buf noticed Builder size LANG fixing	StrBuilder usages thisBuf length size Str Builder Buf
299	str int Width width padChar pad Char Char Pad Len size Exception	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberFormatException Number Format Exception createNumber create Number Number NumberUtils Number Utils string works Format digit Exception Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	FindBugs Find Bugs Locale org Null Exception NullPointerException Null Pointer Exception Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils constructor	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time pause sleep Thread time StopWatch Watch counter shouldn Watch acts	StopWatch suspend acts split Watch
328	language Locale country Utils LocaleUtils Locale Utils toLocale Locale PropertyConverter Property Converter POSIX tests throws	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time Jul test Mon testCalendar test Calendar seconds Instance DateUtils Utils	Dates behaves incorrectly minutes seconds
363	String Java Utils Script Escape document Javascripts scripts javaScriptEscape java Script Escape org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean Exception Utils BooleanUtils Boolean Utils case String toBoolean Boolean statement assertEquals assert Equals invalid	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format Format Time Instance Hash getDateInstance Instance locale methods getDateTimeInstance Time Instance case	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop infinite numerator	infinite loop Fraction reduce numerator
393	Big compareTo compare BigDecimal Big Decimal EqualsBuilder Equals Builder Decimals BigDecimals Big Decimals compare Decimal Equals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	getNullText Null Text appendFixedWidth append Fixed Width StrBuilder Str Builder Builder exception pointer Null width Width Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str string length String substring Exception StringIndexOutOfBoundsException String Bounds Exception WordUtils Word Utils Utils lengt	WordUtils abbreviate bug greater str length Word Utils
432	Bugs http String handling Case Bug string sensitive locale case	case insensitive string handling
457	String Exception Utils front NumberUtils Number Utils createNumber create Number Bounds throws StringIndexOutOfBoundsException String Bounds Exception Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
