59	Calendar MDT assertEquals assert Equals DateUtils Utils Utils Equals lang hour buggy DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum ValuedEnum Valued Enum compareTo compare values typesafe classes compare Object org lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time Calendar DurationFormatUtils Duration Format Utils String MONTH Format Dec getTimeInMillis Time Millis formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	EntitiesTest Entities Test test Test unescapeXml unescape Xml doTestUnescapeEntity Test Unescape Entity xFFFF FFFF Entity FFFF reference entity	unescapeXml unescape Xml
295	length thisBuf Buf Buf Str StrBuilder Str Builder Builder size LANG shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	size str pad Width width Pad Char Fixed padChar pad Char char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberUtils Number Utils createNumber create Number Exception Format NumberFormatException Number Format Exception Digits Utils string works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	FindBugs Find Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Exception Bugs availableLocaleSet Locale Set Locale Null Pointer NullPointerException Null Pointer Exception	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time suspend time counter shouldn acts opinion split bug	StopWatch suspend acts split Watch
328	Locale PropertyConverter Property Converter toLocale Locale LocaleUtils Locale Utils country language Property case POSIX Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar seconds minutes test Time getTimeZone Time Zone getTime Time System println DateUtils Utils	Dates behaves incorrectly minutes seconds
363	String Javascripts Escape scripts Javascript JavascriptEscape Javascript Escape Utils java javaScriptEscape java Script Escape escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Exception assert test Utils statement source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Locale getDateInstance Instance HashMap Hash Map getDateTimeInstance Time Instance case FastDateFormat Fast Format Time Format Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction numerator loop	infinite loop Fraction reduce numerator
393	compareTo compare EqualsBuilder Equals Builder Decimals Big compare comparing Decimal BigDecimal Big Decimal BigDecimals Big Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null pointer width getNullText Null Text Builder Fixed appendFixedWidth append Fixed Width null StrBuilder Str Builder Width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string Word String str length StringIndexOutOfBoundsException String Bounds Exception Utils Exception substring lengt	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String http Case string insensitive locale Bug sensitive case	case insensitive string handling
457	createNumber create Number Number Exception String StringIndexOutOfBoundsException String Bounds Exception front NumberUtils Number Utils Bounds Utils LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry appendTo append borderStyle border Style escapingOn escaping HashMap Hash Map border formattedPattern formatted Pattern DUMMY	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html StringEscapeUtils String Escape Utils characters utf Characters unicode Escape escape import	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number Decimal hasDecPoint Dec Point isNumber Number NumberUtils Number Utils hasExp Exp return Dec Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar test Zone Format format problem TimeZone Time Zone testFormat test Format assert	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replaceEach replace replacementList replacement List searchList search List List Utils case replace StringUtils String Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	web webapp ThreadLocals Thread Locals org memory String thread ToStringStyle String Style Style remove	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Utils Object ClassUtils Class Utils element array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils Exception String StringIndexOutOfBoundsException String Bounds Exception Format Utils indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Week FastDateFormat Fast Format locale Format format Simple program Locale Days	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction case getDenominator Denominator Integer FractionTest Fraction Test factory Factory MIN borderStyle border Style assertEquals assert Equals	org apache commons lang math Fraction reduce Integer MIN
664	hasDecPoint Dec Point Number hasExp Exp return isNumber Number code java change String Digit	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False Calendar Time isSameLocalTime Local Time Local Utils Millis HOUR Assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format FastDateFormat Fast Format pattern Java Javadoc JDK year format number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number case Utils NumberUtils Number Utils Integer NumberFormatException Number Format Exception Format Exception	NumberUtils handle upper case hex Number Utils
747	Number createLong create Long Long Integer NumberUtils Number Utils numbers hex handles createInteger create Integer create	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ObjectInputStream Object Input Stream primitiveType primitive Type bug Loader resolveClass resolve Class SerializationUtils Serialization Utils Exception ClassLoaderAwareObjectInputStream Class Loader Aware Object Input Stream	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int length nextInt Int RandomStringUtils Random String Utils Random code int ends empty char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random nextInt Int Utils String RandomUtils Random Utils source Int problem lang IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Decimal createNumber create Number BigDecimal Big Decimal Big NumberUtils Number Utils behaviour work Utils Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FDP FastDateParser Fast Parser treat SDP parse Parser treats SimpleDateFormat Simple Format dates Format	FastDateParser handle white space properly Fast Parser
832	format parse quotes Simple Format works handle Parser FastDateParser Fast Parser unterminated	FastDateParser handle unterminated quotes correctly Fast Parser
882	String Char work CharSequence Char Sequence CharBuffer Char Buffer Buffer hashCode hash Code Map Escape lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
