59	MDT MST Utils Equals lang hour buggy DST DAY hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum compareTo compare values Valued typesafe classes compare ValuedEnum Valued Enum Object enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration MONTH Calendar getTimeInMillis Time Millis String DECEMBER Format Dec Utils	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test xFFFF FFFF EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Entity reference entity FFFF Unescape	unescapeXml unescape Xml
295	length thisBuf Buf Str size StrBuilder Str Builder Builder Buf LANG shouldn places	StrBuilder usages thisBuf length size Str Builder Buf
299	str pad Width width Char strLen str Len size Pad Len int	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Exception Format Digits NumberFormatException Number Format Exception NumberUtils Number Utils createNumber create Number Utils isDigits Digits string	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set Exception Bugs LocaleUtils Locale Utils FindBugs Find Bugs Null Pointer NullPointerException Null Pointer Exception cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time getTime Time time counter shouldn acts opinion split bug StopWatch Watch	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils country language case POSIX Utils code PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	seconds minutes TimeZone Time Zone Time getTime Time Calendar System test println Mon	Dates behaves incorrectly minutes seconds
363	Escape java javaScriptEscape java Script Escape escape Utils String Java JavaScriptUtils Java Script Utils org codes	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case Exception test Utils statement source String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Locale getDateInstance Instance getDateTimeInstance Time Instance case HashMap Hash Map FastDateFormat Fast Format Time Format Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction numerator loop	infinite loop Fraction reduce numerator
393	compareTo compare Big compare Decimals Decimal comparing EqualsBuilder Equals Builder Builder BigDecimal Big Decimal BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null pointer width getNullText Null Text Builder Fixed appendFixedWidth append Fixed Width null StrBuilder Str Builder Width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String length str StringIndexOutOfBoundsException String Bounds Exception Utils Exception substring Word lengt	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String string Case http locale insensitive Bug case sensitive	case insensitive string handling
457	Number Exception String NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception front Bounds Utils LANG createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format appendTo append escapingOn escaping HashMap Hash Map DUMMY ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern code Extended	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters utf unicode Characters Escape escape String StringEscapeUtils String Escape Utils import org	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number point dec return Digit isNumber Number Point Dec Utils	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone TimeZone Time Zone Format format noformat GregorianCalendar Gregorian Calendar zone testFormat test Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement String searchList search List StringUtils String Utils replace Utils replaceEach replace Assert case Test	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	remove org memory String thread ToStringStyle String Style Style LANG reference web	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class NPE Utils Object element array ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number NumberUtils Number Utils Exception String StringIndexOutOfBoundsException String Bounds Exception Format Utils createNumber create Number indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format locale format Format Simple Locale firstDayOfWeek Day Week week simple Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction case test getDenominator Denominator Integer factory Factory MIN Test Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number return hasDecPoint Dec Point code java change NumberUtils Number Utils String hasExp Exp isNumber Number	NumberUtils isNumber String String Number Utils Number
677	assertFalse assert False Calendar Time isSameLocalTime Local Time Local Utils Millis HOUR Assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format FastDateFormat Fast Format pattern Java Javadoc JDK year format number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer case Utils NumberFormatException Number Format Exception createNumber create Number NumberUtils Number Utils Format Exception	NumberUtils handle upper case hex Number Utils
747	Number numbers createLong create Long Long Integer hex handles Utils Hex handle	NumberUtils handle Long Hex numbers Number Utils
