59	MDT hour lang DateUtils Utils truncate Utils buggy Equals DST oct	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	compareTo compare typesafe Enum ValuedEnum Valued Enum Object classes Valued values int compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar Duration set result String returns Utils Dec Time	DurationFormatUtils returns wrong result Duration Format Utils
292	test unescape EntitiesTest Entities Test Test doTestUnescapeEntity Test Unescape Entity unescapeXml unescape Xml Entity reference Unescape Xml	unescapeXml unescape Xml
295	length thisBuf Buf StrBuilder Str Builder Str Builder LANG usages Buf places reference	StrBuilder usages thisBuf length size Str Builder Buf
299	method appendFixedWidthPadRight append Fixed Width Pad str Width width StrBuilder Str Builder class Fixed Pad size	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception Format Utils NumberUtils Number Utils Exception throws string works	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	NullPointerException Null Pointer Exception Locale Null Pointer Exception Bugs FindBugs Find Bugs Field constructor Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch acts Watch split time Time counter shouldn bug opinion	StopWatch suspend acts split Watch
328	toLocale Locale LocaleUtils Locale Utils Locale language country strings Utils case POSIX rejects	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds Calendar behaves System test println Dates incorrectly Mon	Dates behaves incorrectly minutes seconds
363	Escape String Utils StringEscapeUtils String Escape Utils escape script escapeJavaScript escape Java Script Java Script org	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	toBoolean Boolean BooleanUtils Boolean Utils case Boolean Utils statement Exception test String source	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance FastDateFormat Fast Format getDateTimeInstance Time Instance Instance locale case Locale Time Format methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce numerator infinite	infinite loop Fraction reduce numerator
393	Big Decimal EqualsBuilder Equals Builder compare don compareTo compare BigDecimal Big Decimal Decimals BigDecimals Big Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Builder pointer width Fixed handle nulls getNullText Null Text Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string abbreviate WordUtils Word Utils String upper StringIndexOutOfBoundsException String Bounds Exception Utils Word	WordUtils abbreviate bug greater str length Word Utils
432	case String Bugs insensitive string Case locale http intended handling	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String createNumber create Number NumberUtils Number Utils Number Bounds Exception Utils front thows	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended Message ExtendedMessageFormat Extended Message Format format String code pattern formatRegistry format Registry Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	StringEscapeUtils String Escape Utils characters escapeHtml escape Html String Escape unicode escape println import org	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	isNumber Number Number return Utils NumberUtils Number Utils code block Exp Point hasExp Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Zone Format format test TimeZone Time Zone DateFormatUtils Format Utils cal correctly	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace Utils StringUtils String Utils replacement Test case replacementList replacement List null import	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory ThreadLocals Thread Locals String org HashCodeBuilder Hash Code Builder thread Style LANG builder	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE Object Class ClassUtils Class Utils Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws Format Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week FastDateFormat Fast Format locale format Simple SimpleDateFormat Simple Format Fast year import	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer MIN Fraction apache org method commons code case void	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return hasDecPoint Dec Point code NumberUtils Number Utils java Utils change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Utils Local DateUtils Utils Time Calendar class method Millis HOUR	DateUtils isSameLocalTime work correct Utils Local Time
