59	DAY oct MST DateUtils Utils Calendar Utils method input switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	values typesafe Enum Object commons Valued int enums compareTo compare ValuedEnum Valued Enum	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Time Calendar DurationFormatUtils Duration Format Utils String result Format Duration formatPeriod format Period Period set	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void test Number Unescape Exception Entity invalid Maximim char	unescapeXml unescape Xml
295	Str fixing Builder StrBuilder Str Builder noticed Buf LANG reference thisBuf Buf length	StrBuilder usages thisBuf length size Str Builder Buf
299	Char pad int method str width Width size Pad strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberUtils Number Utils Format Number isDigits Digits createNumber create Number NumberFormatException Number Format Exception numeric Exception string Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableSet Set lang Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils commons Null Exception initialized availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend pause counter StopWatch Watch Time sleep Watch continue time Thread	StopWatch suspend acts split Watch
328	Locale language country toLocale Locale POSIX Utils LocaleUtils Locale Utils code instanciating case	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	seconds Calendar Time testCalendar test Calendar getTimeZone Time Zone minutes TimeZone Time Zone rounding MINUTE test	Dates behaves incorrectly minutes seconds
363	Java Escape String Script str java util Utils web alert	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean Exception String case false Utils test BooleanUtils Boolean Utils StringIndexOutOfBoundsException String Bounds Exception assert	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format Time key Hash locale Format Instance getDateTimeInstance Time Instance getDateInstance Instance Fast	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary pretty reduce infinite loop Fraction numerator	infinite loop Fraction reduce numerator
393	equals compare comparing compareTo compare Big BigDecimal Big Decimal Equals EqualsBuilder Equals Builder BigDecimals Big Decimals Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	exception null Null Text fixed set Str getNullText Null Text Width Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string str String abbreviate adjusted Exception Utils substring Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug html Common handling sensitive nabble Case case string	case insensitive string handling
457	Exception String Bounds throws place NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception digit create LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended Message formatted code String Error return ExtendedMessageFormat Extended Message Format	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String unicode characters Html character UNIT representation data println StringEscapeUtils String Escape Utils	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
