59	DAY DateUtils Utils Calendar oct dealing MST assertEquals assert Equals Equals MDT hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum enums compareTo compare compare values classes int ValuedEnum Valued Enum typesafe Valued	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils currentTimeMillis current Time Millis getTimeInMillis Time Millis Duration Time Calendar Format format DAY String	DurationFormatUtils returns wrong result Duration Format Utils
292	void test Test testNumberOverflow test Number Overflow Exception EntitiesTest Entities Test xFFFF FFFF FFFF Unescape unescapeXml unescape Xml	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf noticed Buf length Builder size fixing mistaken	StrBuilder usages thisBuf length size Str Builder Buf
299	Char Width padChar pad Char width pad str int char size appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception Digits digit works string numeric false	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set availableLocaleSet Locale Set LocaleUtils Locale Utils Locale NullPointerException Null Pointer Exception Null FindBugs Find Bugs org cAvailableSet Set lang	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	pause StopWatch Watch suspend Time Watch continue resume sleep Thread getTime Time	StopWatch suspend acts split Watch
328	language Locale toLocale Locale country LocaleUtils Locale Utils tests Utils PropertyConverter Property Converter toString String throws	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time getTimeZone Time Zone TimeZone Time Zone GMT testCalendar test Calendar seconds Jul Instance	Dates behaves incorrectly minutes seconds
363	Java java escapeJavaScript escape Java Script Script JavascriptEscape Javascript Escape Javascript document javaScriptEscape java Script Escape Escape String	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean String Exception Utils StringIndexOutOfBoundsException String Bounds Exception BooleanUtils Boolean Utils false assertEquals assert Equals assert invalid	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	FastDateFormat Fast Format getDateTimeInstance Time Instance getDateInstance Instance Format Time Hash changed locale Locale key	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	infinite Summary loop Fraction numerator	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compare comparing compareTo compare Big BigDecimals Big Decimals EqualsBuilder Equals Builder equals Decimal Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null getNullText Null Text exception appendFixedWidth append Fixed Width StrBuilder Str Builder Builder Str Text Width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String WordUtils Word Utils str substring length upper greater abbreviate Word	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug handling sensitive html string http String Case case	case insensitive string handling
457	throws String StringIndexOutOfBoundsException String Bounds Exception createNumber create Number NumberUtils Number Utils Utils Exception place Bounds front	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message format formatted formattedPattern formatted Pattern ExtendedMessageFormat Extended Message Format Extended String Broken problem	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode UTF Html characters StringEscapeUtils String Escape Utils output utf represented	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	decimal number NumberUtils Number Utils Number Digit isNumber Number Decimal valid Exp dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone Format getTimeZone Time Zone format time GMT FastDateFormat Fast Format testFormat test Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement replace replacementList replacement List Utils String org Test null exception replaceEach replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String ToStringStyle String Style org Hash trigger application commons Code removed	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Utils Object Class ClassUtils Class Utils toClass Class throws element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number NumberFormatException Number Format Exception Utils Number throws StringIndexOutOfBoundsException String Bounds Exception String exponent Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Week Format week SimpleDateFormat Simple Format firstDayOfWeek Day Week minimalDaysInFirstWeek minimal Days Week format Days code FastDateFormat Fast Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer FractionTest Fraction Test int test getDenominator Denominator Divisor Denominator MIN case	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils Digit Exp Number hasExp Exp isNumber Number Utils code exponent change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DAY setTimeInMillis set Time Millis method assertFalse assert False False Calendar DateUtils Utils Assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Format FastDateFormat Fast Format format year SimpleDateFormat Simple Format Java YYY JDK Javadoc pattern	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case Utils Integer NumberFormatException Number Format Exception decode Format handle	NumberUtils handle upper case hex Number Utils
747	Number Integer NumberUtils Number Utils numbers createNumber create Number octal Long createLong create Long createInteger create Integer Java	NumberUtils handle Long Hex numbers Number Utils
788	Class class ClassNotFoundException Class Exception ObjectInputStream Object Input Stream Object ObjectStreamClass Object Stream Class Serialization classLoader class Loader Exception Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int int chars random useless char Fixed null takes throws	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Exception Utils Illegal RandomUtils Random Utils Int java identify positive lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal BigDecimal Big Decimal Exception Utils leading methods Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser Format SimpleDateFormat Simple Format parse treat treats parsed single number	FastDateParser handle white space properly Fast Parser
832	format SimpleDateFormat Simple Format Format FastDateParser Fast Parser unterminated handled parsed parse Parser Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String char CharSequence Char Sequence code CharBuffer Char Buffer text Hash hash Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
