59	Calendar DateUtils Utils MST assertEquals assert Equals MDT assert	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compare compareTo compare Enum values Valued enums	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time currentTimeMillis current Time Millis getTimeInMillis Time Millis MONTH format Format DECEMBER DurationFormatUtils Duration Format Utils formatPeriod format Period	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF EntitiesTest Entities Test FFFF unescapeXml unescape Xml test Test Unescape unescape Xml Overflow	unescapeXml unescape Xml
295	thisBuf Buf Buf length StrBuilder Str Builder size	StrBuilder usages thisBuf length size Str Builder Buf
299	pad str size Width Fixed width Pad padChar pad Char bug String	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	NumberUtils Number Utils Number Digits createNumber create Number isDigits Digits digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set availableLocaleSet Locale Set LocaleUtils Locale Utils Locale FindBugs Find Bugs Find cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend getTime Time pause Time	StopWatch suspend acts split Watch
328	Locale toLocale Locale PropertyConverter Property Converter Property LocaleUtils Locale Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar getTime Time seconds minutes Time getTimeZone Time Zone TimeZone Time Zone GMT test DateUtils Utils	Dates behaves incorrectly minutes seconds
363	JavaScriptUtils Java Script Utils String Javascript JavascriptEscape Javascript Escape javaScriptEscape java Script Escape Javascripts java scripts escape Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean assert assertEquals assert Equals	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance Locale getDateTimeInstance Time Instance HashMap Hash Map locale Hash Map	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
