59	oct DateUtils Utils method MDT truncate Utils DAY buggy MST result	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe Object Valued ValuedEnum Valued Enum compareTo compare Enum int commons values org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	result Calendar DurationFormatUtils Duration Format Utils set returns Format String Duration Time cal	DurationFormatUtils returns wrong result Duration Format Utils
292	unescape Test unescapeXml unescape Xml Xml void Unescape Number invalid test Exception	unescapeXml unescape Xml
295	Str StrBuilder Str Builder Builder reference length noticed thisBuf Buf LANG fixing usages	StrBuilder usages thisBuf length size Str Builder Buf
299	method str StrBuilder Str Builder append Fixed Width width int Pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberUtils Number Utils Format throws NumberFormatException Number Format Exception isDigits Digits works Utils numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null cAvailableSet Set Exception lang commons NullPointerException Null Pointer Exception Pointer initialized org	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend StopWatch Watch Watch acts counter pause call sleep System Thread	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils strings Utils country instanciating case throws	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	seconds behaves Calendar minutes Dates Time testCalendar test Calendar test void getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	Escape String Java Utils script escape Script method escapeJavaScript escape Java Script render	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case Utils toBoolean Boolean statement invalid false BooleanUtils Boolean Utils String Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance FastDateFormat Fast Format getDateInstance Instance key getDateTimeInstance Time Instance Time Hash Format Patch changed	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	reduce loop infinite Fraction pretty Summary numerator	infinite loop Fraction reduce numerator
393	compare Big EqualsBuilder Equals Builder Equals BigDecimals Big Decimals equals don BigDecimal Big Decimal Decimal comparing	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Str appendFixedWidth append Fixed Width handle Builder exception StrBuilder Str Builder Text fixed null append	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length abbreviate str string upper greater WordUtils Word Utils Utils adjusted Exception	WordUtils abbreviate bug greater str length Word Utils
432	handling case sensitive insensitive string Case Bugs Bug String intended	case insensitive string handling
457	NumberUtils Number Utils String createNumber create Number Bounds Number StringIndexOutOfBoundsException String Bounds Exception Exception thows throws create	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Extended Message format String code ExtendedMessageFormat Extended Message Format return static Style	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	characters String incorrectly unicode StringEscapeUtils String Escape Utils escapeHtml escape Html Utils println Escape test	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number NumberUtils Number Utils return number foundDigit Digit chars decimal Digit Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar format Format Zone change TimeZone Time Zone test DateFormatUtils Format Utils unit	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String null Utils StringUtils String Utils replace replaceEach replace replacement result Test case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String ToStringStyle String Style trigger org ThreadLocals Thread Locals thread created application Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class ClassUtils Class Utils null element throws Utils array NPE	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	throws Number NumberUtils Number Utils createNumber create Number Exception String Format Bounds StringIndexOutOfBoundsException String Bounds Exception create	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format Fast week locale format Simple FastDateFormat Fast Format output year number	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer MIN Fraction apache method commons case org int void	org apache commons lang math Fraction reduce Integer MIN
664	String isNumber Number Number NumberUtils Number Utils Exp code foundDigit Digit Java chars Digit	NumberUtils isNumber String String Number Utils Number
677	Utils method work isSameLocalTime Local Time Time DateUtils Utils Local Calendar Instance getInstance Instance	DateUtils isSameLocalTime work correct Utils Local Time
719	year Java Format SimpleDateFormat Simple Format formats FastDateFormat Fast Format Simple pattern Fast adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	handle case upper Number hex NumberUtils Number Utils Integer Format Utils decode	NumberUtils handle upper case hex Number Utils
747	create Long handle numbers NumberUtils Number Utils Number hex Integer decode createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Utils class primitive Serialization Exception Object Input SerializationUtils Serialization Utils ClassNotFoundException Class Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code nextInt Int pass Int int lang user char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws Utils Exception confusing Illegal Int RandomStringUtils Random String Utils String identify	RandomStringUtils throws confusing IAE start Random String Utils
