59	DateUtils Utils oct MDT dealing truncate DAY assertEquals assert Equals Equals hour method	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum compareTo compare ValuedEnum Valued Enum typesafe Object enums int Valued compare classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Calendar result returns Duration currentTimeMillis current Time Millis String DAY Format getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	unescapeXml unescape Xml unescape Test Xml void test testNumberOverflow test Number Overflow Exception EntitiesTest Entities Test xFFFF FFFF	unescapeXml unescape Xml
295	StrBuilder Str Builder Str length thisBuf Buf noticed Builder usages size Buf reference	StrBuilder usages thisBuf length size Str Builder Buf
299	str StrBuilder Str Builder Fixed Width class appendFixedWidthPadRight append Fixed Width Pad method Char width int	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception throws digit works string Digits false	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null FindBugs Find Bugs org commons cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch suspend Watch pause Time Thread sleep acts resume continue	StopWatch suspend acts split Watch
328	toLocale Locale language Locale LocaleUtils Locale Utils Utils throws tests strings PropertyConverter Property Converter country	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar Time behaves Dates Instance Jul testCalendar test Calendar incorrectly appears	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script Java String Escape Utils Script StringEscapeUtils String Escape Utils escape document str	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean Utils BooleanUtils Boolean Utils invalid case toBoolean Boolean Exception false statement String	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance FastDateFormat Fast Format getDateTimeInstance Time Instance Instance Hash Format changed Time key methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop infinite Fraction reduce numerator	infinite loop Fraction reduce numerator
393	compare Big EqualsBuilder Equals Builder BigDecimals Big Decimals BigDecimal Big Decimal don Equals Decimal comparing compareTo compare	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width StrBuilder Str Builder Str Builder handle exception getNullText Null Text null Null nulls	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils length str string upper abbreviate greater String substring Exception	WordUtils abbreviate bug greater str length Word Utils
432	handling string sensitive insensitive String case Bugs intended Bug Case	case insensitive string handling
457	createNumber create Number NumberUtils Number Utils String StringIndexOutOfBoundsException String Bounds Exception Number throws Utils Bounds thows place	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format Message format Extended String ExtendedMessageFormat Extended Message Format code custom pattern formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html characters String StringEscapeUtils String Escape Utils unicode class Html incorrectly println output	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	NumberUtils Number Utils isNumber Number Number decimal True number Digit Exp points Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar format Format TimeZone Time Zone change FastDateFormat Fast Format DateFormatUtils Format Utils Zone test	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	null Utils String replace result replacement replaceEach replace Test replacementList replacement List StringUtils String Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory trigger ToStringStyle String Style ThreadLocals Thread Locals org Hash application String commons Code	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class ClassUtils Class Utils Utils Class throws NPE null element array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number throws NumberUtils Number Utils Number Utils StringIndexOutOfBoundsException String Bounds Exception String NumberFormatException Number Format Exception exponent Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week format FastDateFormat Fast Format SimpleDateFormat Simple Format Simple Fast output locale code	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer apache Fraction MIN commons org int case method FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils String isNumber Number return Digit Number Exp hasExp Exp code change	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time method Utils Time DateUtils Utils work DAY class Local setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Java Format year SimpleDateFormat Simple Format pattern formats format Fast adjusted	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	handle NumberUtils Number Utils case Number Utils createNumber create Number upper decode Format work	NumberUtils handle upper case hex Number Utils
747	Long NumberUtils Number Utils Number numbers createNumber create Number Integer create handle createLong create Long hex	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Exception primitive Serialization SerializationUtils Serialization Utils Object Type Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars RandomStringUtils Random String Utils Int int throws takes code pass nextInt Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws Illegal Exception RandomStringUtils Random String Utils identify positive confusing source	RandomStringUtils throws confusing IAE start Random String Utils
822	createNumber create Number NumberUtils Number Utils Number leading behaviour Exception Decimal BigDecimal Big Decimal Utils methods	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser treats white Parser space single Format treat number handle	FastDateParser handle white space properly Fast Parser
832	unterminated FastDateParser Fast Parser handled format handle quotes SimpleDateFormat Simple Format Format correctly Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String LookupTranslator Lookup Translator work code hash method char Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
