59	DateUtils Utils method switching truncate dealing MDT hour Calendar oct assertEquals assert Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum Valued Object typesafe enums values int	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Calendar DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis result currentTimeMillis current Time Millis returns Format MONTH DECEMBER	DurationFormatUtils returns wrong result Duration Format Utils
292	unescapeXml unescape Xml unescape EntitiesTest Entities Test Test xFFFF FFFF Xml testNumberOverflow test Number Overflow Number FFFF test	unescapeXml unescape Xml
295	length thisBuf Buf Str StrBuilder Str Builder usages Buf Builder size reference places	StrBuilder usages thisBuf length size Str Builder Buf
299	str append Fixed Width appendFixedWidthPadRight append Fixed Width Pad width method padChar pad Char Char getNullText Null Text	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils throws digit works string Digits Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale NullPointerException Null Pointer Exception Null FindBugs Find Bugs cAvailableLocaleSet Locale Set LocaleUtils Locale Utils availableLocaleSet Locale Set Set initialized constructor	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	StopWatch Watch Watch pause getTime Time suspend Time acts split bug continue	StopWatch suspend acts split Watch
328	toLocale Locale language Locale LocaleUtils Locale Utils PropertyConverter Property Converter strings country String JDK POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar seconds behaves Jul testCalendar test Calendar getTimeZone Time Zone appears incorrectly Dates	Dates behaves incorrectly minutes seconds
363	escapeJavaScript escape Java Script String Java Utils escape Escape StringEscapeUtils String Escape Utils Javascript JavaScriptUtils Java Script Utils script	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils Utils toBoolean Boolean Exception statement case assert method assertEquals assert Equals	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
