59	oct DateUtils Utils MDT DAY truncate MST hour Calendar result Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum typesafe Valued values int commons Enum compareTo compare enums Object	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Time result Duration set DurationFormatUtils Duration Format Utils currentTimeMillis current Time Millis getTimeInMillis Time Millis Format cal	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void test Unescape Entity testNumberOverflow test Number Overflow doTestUnescapeEntity Test Unescape Entity Exception Number reference	unescapeXml unescape Xml
295	Str StrBuilder Str Builder Builder thisBuf Buf noticed LANG length fixing Buf places	StrBuilder usages thisBuf length size Str Builder Buf
299	width str method size pad strLen str Len Char int append Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberFormatException Number Format Exception isDigits Digits Format numeric NumberUtils Number Utils fine string substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Null initialized lang cAvailableSet Set NullPointerException Null Pointer Exception commons availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time StopWatch Watch counter time Watch pause sleep doesn shouldn	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils POSIX country variant case string toString String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time rounding testCalendar test Calendar test TimeZone Time Zone Mon DateUtils Utils getTimeZone Time Zone	Dates behaves incorrectly minutes seconds
363	Escape String Script Java str escapeJavaScript escape Java Script Utils util escape JavascriptEscape Javascript Escape	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case String StringIndexOutOfBoundsException String Bounds Exception BooleanUtils Boolean Utils false test Exception toBoolean Boolean Bounds	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateTimeInstance Time Instance locale getDateInstance Instance key Locale Hash Instance Fast Format FastDateFormat Fast Format	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary pretty reduce loop Fraction infinite numerator	infinite loop Fraction reduce numerator
393	compare equals comparing BigDecimal Big Decimal compareTo compare Big don correctly Equals Decimal	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	null Null exception set getNullText Null Text appendFixedWidth append Fixed Width Fixed fixed Text handle	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str abbreviate String upper Word substring adjusted Bounds	WordUtils abbreviate bug greater str length Word Utils
432	Bugs html Common Bug insensitive locale Case String sensitive intended	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Bounds Exception throws digit place Number don createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended ExtendedMessageFormat Extended Message Format formatRegistry format Registry formatted String code formattedPattern formatted Pattern DummyFormatFactory Dummy Format Factory	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html unicode characters println character utf escape StringEscapeUtils String Escape Utils data	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number decimal Number isNumber Number Decimal chars Exp foundDigit Digit BigDecimal Big Decimal return	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format TimeZone Time Zone GMT format dateTime Time GregorianCalendar Gregorian Calendar test noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace null replacement replace StringUtils String Utils Test replacementList replacement List org Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	String ToStringStyle String Style thread org memory lang commons leak triggers created	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object element array throws NPE null Utils ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number Exception String NumberFormatException Number Format Exception throws StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils passed Format	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week locale FastDateFormat Fast Format Week SimpleDateFormat Simple Format Format format Fast Locale year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN Equals method getDenominator Denominator Reduced test int case	org apache commons lang math Fraction reduce Integer MIN
664	Number String isNumber Number code Digit Exp chars NumberUtils Number Utils return hasExp Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils DateUtils Utils method Calendar HOUR assertFalse assert False setTimeInMillis set Time Millis cal	DateUtils isSameLocalTime work correct Utils Local Time
719	year SimpleDateFormat Simple Format Java Format format FastDateFormat Fast Format Fast pattern JDK bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Integer NumberFormatException Number Format Exception NumberUtils Number Utils Format createNumber create Number decode upper case handles	NumberUtils handle upper case hex Number Utils
747	Integer numbers Number hex create createNumber create Number NumberUtils Number Utils Long handle decode	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization class primitive ClassNotFoundException Class Exception SerializationUtils Serialization Utils ObjectInputStream Object Input Stream Exception primitiveType primitive Type Object	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars Int code exception array null int ends empty	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal Argument throws lang RandomUtils Random Utils invokes Exception confusing	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal create behaviour Format Big NumberUtils Number Utils returns leading	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse parsed Format space white Fast treat Simple treats	FastDateParser handle white space properly Fast Parser
832	format parse SimpleDateFormat Simple Format Simple Format unterminated handled works quotes Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	String CharSequence Char Sequence Char code translate work char CharBuffer Char Buffer equals Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
