59	DateUtils Utils MDT Calendar truncate hour result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Valued compareTo compare compare int values typesafe commons Enum apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Duration Time Calendar result set currentTimeMillis current Time Millis cal DurationFormatUtils Duration Format Utils getTimeInMillis Time Millis System	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF Test test Unescape EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity unescape FFFF reference entity	unescapeXml unescape Xml
295	thisBuf Buf StrBuilder Str Builder Str length LANG Buf Builder noticed places shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	str width pad size strLen str Len Pad Width method ArrayIndexOutOfBoundsException Array Bounds Exception padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number createNumber create Number NumberUtils Number Utils fine numeric isDigits Digits substring NumberFormatException Number Format Exception string empty	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set Locale availableLocaleSet Locale Set LocaleUtils Locale Utils initialized pointed Find apache NullPointerException Null Pointer Exception Null	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend pause Time time doesn getTime Time shouldn counter increase acts	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant case string language POSIX strings Configuration	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes Time test CDT TimeZone Time Zone DateUtils Utils behaves seconds output	Dates behaves incorrectly minutes seconds
363	String JavaScriptUtils Java Script Utils Escape javaScriptEscape java Script Escape escape JavascriptEscape Javascript Escape scripts Javascript script Spring	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean case toBoolean Boolean false String test StringIndexOutOfBoundsException String Bounds Exception statement follow	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
