59	MDT DateUtils Utils MST truncate hour result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Valued ValuedEnum Valued Enum compareTo compare int typesafe compare enums commons Enum apache	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	DurationFormatUtils Duration Format Utils Duration Calendar result set cal Time getTimeInMillis Time Millis System currentTimeMillis current Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	xFFFF FFFF Test test Unescape doTestUnescapeEntity Test Unescape Entity unescape reference FFFF entity void	unescapeXml unescape Xml
295	StrBuilder Str Builder length Str thisBuf Buf Builder LANG noticed places shouldn mistaken	StrBuilder usages thisBuf length size Str Builder Buf
299	width pad strLen str Len str Pad Width ArrayIndexOutOfBoundsException Array Bounds Exception method StrBuilder Str Builder appendFixedWidthPadRight append Fixed Width Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number isDigits Digits NumberUtils Number Utils NumberFormatException Number Format Exception fine numeric substring string createNumber create Number Digits	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale cAvailableLocaleSet Locale Set LocaleUtils Locale Utils initialized pointed Find apache availableLocaleSet Locale Set NullPointerException Null Pointer Exception Null	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend getTime Time StopWatch Watch pause time doesn shouldn counter increase	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils variant case string language POSIX strings Configuration	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes TimeZone Time Zone Time Calendar test CDT behaves output produces seconds	Dates behaves incorrectly minutes seconds
363	escape Escape JavaScriptUtils Java Script Utils javaScriptEscape java Script Escape script String Spring uncorrectly find render	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean case toBoolean Boolean false String test StringIndexOutOfBoundsException String Bounds Exception statement follow	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance key case test Fast Hash	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary reduce loop Fraction pretty infinite numerator	infinite loop Fraction reduce numerator
393	compare comparing compareTo compare Big BigDecimal Big Decimal don equals correctly Equals case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width Fixed handle append set Builder nulls Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String abbreviate upper length str Word greater Bounds substring	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug insensitive Common html locale Case String sensitive intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception digit String Number LANG don createNumber create Number Bounds place Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry formatted ExtendedMessageFormat Extended Message Format formattedPattern formatted Pattern FORMAT String code Extended	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
