59	MDT hour Utils DST DateUtils Utils Equals hours buggy truncate lang	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	typesafe ValuedEnum Valued Enum values classes Enum int lang Valued org compareTo compare	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar set Duration Time DurationFormatUtils Duration Format Utils result String Dec Utils cal	DurationFormatUtils returns wrong result Duration Format Utils
292	test doTestUnescapeEntity Test Unescape Entity reference Test Entity entity EntitiesTest Entities Test Unescape testNumberOverflow test Number Overflow unescape	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG shouldn places Buf size	StrBuilder usages thisBuf length size Str Builder Buf
299	width str size method obj Pad appendFixedWidthPadRight append Fixed Width Pad int strLen str Len pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception Format createNumber create Number string substring Exception fine Utils numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Null Locale NullPointerException Null Pointer Exception Exception Pointer Bugs apache FindBugs Find Bugs cAvailableLocaleSet Locale Set initialized	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts bug StopWatch Watch doesn Watch suspend	StopWatch suspend acts split Watch
328	Locale toLocale Locale language case LocaleUtils Locale Utils country POSIX string variant code	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test Mon CDT Time println DateUtils Utils testCalendar test Calendar seconds	Dates behaves incorrectly minutes seconds
363	Escape String script Utils org Spring println escape Script scripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	toBoolean Boolean case Boolean BooleanUtils Boolean Utils test String statement StringIndexOutOfBoundsException String Bounds Exception source Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale case Instance getDateTimeInstance Time Instance Locale Format getDateInstance Instance methods Hash test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce pretty numerator Summary infinite	infinite loop Fraction reduce numerator
393	Big compareTo compare BigDecimal Big Decimal compare Decimal don Decimals Builder equals EqualsBuilder Equals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Fixed appendFixedWidth append Fixed Width Builder pointer getNullText Null Text width Null null handle exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length str string String StringIndexOutOfBoundsException String Bounds Exception Word upper abbreviate Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
