59	oct DateUtils Utils dealing DAY MDT hours DST result Equals truncate	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	int typesafe ValuedEnum Valued Enum enums values classes Enum Valued org commons	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar result Time DurationFormatUtils Duration Format Utils Duration DAY set currentTimeMillis current Time Millis String getTimeInMillis Time Millis	DurationFormatUtils returns wrong result Duration Format Utils
292	Test void test testNumberOverflow test Number Overflow unescape Exception doTestUnescapeEntity Test Unescape Entity EntitiesTest Entities Test Entity xFFFF FFFF	unescapeXml unescape Xml
295	Str StrBuilder Str Builder noticed length thisBuf Buf Builder LANG size mistaken Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	str width int Char StrBuilder Str Builder strLen str Len pad padChar pad Char Chars Pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception createNumber create Number string numeric substring fine digit false NumberUtils Number Utils	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale commons initialized cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Null NullPointerException Null Pointer Exception lang cAvailableSet Set availableLocaleSet Locale Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time suspend pause sleep StopWatch Watch time resume Thread Watch doesn	StopWatch suspend acts split Watch
328	Locale language toLocale Locale LocaleUtils Locale Utils country tests POSIX Utils variant PropertyConverter Property Converter	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar Time minutes testCalendar test Calendar produces test appears Mon Instance Jul	Dates behaves incorrectly minutes seconds
363	String Script Java Escape str escapeJavaScript escape Java Script Utils document web scripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean String false case BooleanUtils Boolean Utils Exception invalid assert statement toBoolean Boolean	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Hash key Instance Format getDateTimeInstance Time Instance methods getDateInstance Instance changed locale Locale	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop infinite Fraction reduce pretty Summary numerator	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big compareTo compare BigDecimals Big Decimals Equals equals comparing don EqualsBuilder Equals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width null Null exception getNullText Null Text Builder StrBuilder Str Builder append Str Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str length upper String greater abbreviate throw substring WordUtils Word Utils	WordUtils abbreviate bug greater str length Word Utils
432	Bugs sensitive handling String html string insensitive Case Common Bug	case insensitive string handling
457	createNumber create Number String throws Number place StringIndexOutOfBoundsException String Bounds Exception front Utils NumberUtils Number Utils Bounds	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format String code formatted formattedPattern formatted Pattern Extended static ExtendedMessageFormat Extended Message Format DummyFormatFactory Dummy Format Factory	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters escapeHtml escape Html unicode represented character commons apache org Exception	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	decimal number Number Exp Decimal chars isNumber Number works fine True	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test TimeZone Time Zone problem GMT time change	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	null replace replacement String Test replacementList replacement List Utils org result replaceEach replace	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory org Hash application Code String web commons Thread trigger	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object Class toClass Class Utils element throws ClassUtils Class Utils array NPE null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String throws createNumber create Number StringIndexOutOfBoundsException String Bounds Exception Utils NumberFormatException Number Format Exception NumberUtils Number Utils Exception passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Week SimpleDateFormat Simple Format format output code Format locale Locale Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN method test case int Equals void getDenominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	code hasExp Exp Exp return Digit String chars Dec Number NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time method assertFalse assert False Utils DAY False Calendar getInstance Instance DateUtils Utils	DateUtils isSameLocalTime work correct Utils Local Time
719	Java SimpleDateFormat Simple Format year pattern Format FastDateFormat Fast Format behavior format Fast bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number decode NumberUtils Number Utils Format Utils NumberFormatException Number Format Exception case Integer upper	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createNumber create Number Long NumberUtils Number Utils create createLong create Long hex handle	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Exception primitive ObjectInputStream Object Input Stream Object Serialization noformat java	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars Int Array throws int Fixed String lang pass	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal lang identify source throws Exception Argument confusing	RandomStringUtils throws confusing IAE start Random String Utils
822	Number BigDecimal Big Decimal createNumber create Number leading behaviour Big check Format nulll Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse Format treat parsed treats white single Fast Parser	FastDateParser handle white space properly Fast Parser
832	format unterminated parse handled SimpleDateFormat Simple Format FastDateParser Fast Parser quotes Format Fast Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	String CharSequence Char Sequence Char code work equals CharBuffer Char Buffer char implemented instances	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
