526	Tree Builder Stack recursion Default cases Overflow Error dataset forest	Infinite Recursion DefaultTreeBuilder Default Tree Builder
552	Vectors Access Vector Random vectors issues NamedVectors Named Vectors Cluster RandomAccessSparseVector Random Access Sparse Vector input	AbstractCluster eliminates NamedVectors replacing RandomAccessSparseVector Abstract Cluster Named Vectors Random Access Sparse Vector
561	type command TestClassifier Test Classifier Classifier Test handle correctly source parameters	TestClassifier correctly handle type source command parameters Test Classifier
564	KMeansClusterer KMeans Clusterer Threshold KMeans distance Clusterer Iteration convergence Cluster object distanceThreshold distance Threshold	KMeansClusterer distanceThreshold parameter testConvergence Iterable Cluster clusters double distanceThreshold method KMeans Clusterer distance Threshold test Convergence distance Threshold
565	operations bit signature byte integer Minhash shift vector sign array	Features incorrectly hashed Minhash
576	Item preference Preference Storage case scenario Pref user updateItemPref update Item Pref Recommender	AbstractJDBCDiffStorage updateItemPref updating AVG incorrectly cases Abstract JDBCDiff Storage update Item Pref
580	base Memory Bayes Store data basePath base Path Data Pierre Parameters user	Missing basePath Bayes job InMemoryDataStore base Path Memory Data Store
583	file files chunk Loss data sequence create loss directory output	Loss data create sequence files directory
602	Implementation org confluence wiki operations apache display MAHOUT https dataset	Partial Implementation throws exceptions
604	Classifier Bayes training exception data tested throws fails	Bayes Classifier fails data training data
610	Row cooccurences tests class RowB Row topic WeightedCoocurrenceArray Weighted Coocurrence Array Similarity column Mapper	Coocurrences SimilarityReducer Similarity Reducer
614	Output Format work Record Hadoop classifier method org Writer Configuration	org apache mahout classifier baytes MultipleOutputFormat working intended Hadoop Multiple Output Format
625	test support data pattern project patterns returns higher calculated transactions	generated patterns support higher reality
631	Weighted WeightedRunningAverage Weighted Running Average Dev datum Running Std Average handling weighted Small	Small bug WeightedRunningAverage add WeightedRunningAverageAndStdDev Weighted Running Average Weighted Running Average Std Dev
641	Row method Matrix Conf Configuration Job Transpose setConf set Conf Distributed TimesSquaredJob Times Squared Job	DistributedRowMatrix hadoop jobs ignore Configuration set setConf Distributed Row Matrix set Conf
678	Gradient Mixed Null MixedGradient Mixed Gradient category Pointer algorithm method simple Ranking	NullPointerException MixedGradient SGD algorithm Null Pointer Exception Mixed Gradient
