526	recursion Tree Stack forest Builder throws building Error Overflow attributes	Infinite Recursion DefaultTreeBuilder Default Tree Builder
552	Vector Vectors vectors names replaces Random org patch sparse Sparse	AbstractCluster eliminates NamedVectors replacing RandomAccessSparseVector Abstract Cluster Named Vectors Random Access Sparse Vector
561	command Test TestClassifier Test Classifier type Classifier correctly handle parameters source	TestClassifier correctly handle type source command parameters Test Classifier
564	KMeansClusterer KMeans Clusterer KMeans distance Clusterer runKMeansIteration KMeans Iteration convergenceDelta convergence Delta convergence Iteration Threshold method	KMeansClusterer distanceThreshold parameter testConvergence Iterable Cluster clusters double distanceThreshold method KMeans Clusterer distance Threshold test Convergence distance Threshold
565	operations integer bit byte vector feature converted shift array signature	Features incorrectly hashed Minhash
576	Preference remove Item preference update Storage version users removing Running	AbstractJDBCDiffStorage updateItemPref updating AVG incorrectly cases Abstract JDBCDiff Storage update Item Pref
580	base Memory Store Bayes basePath base Path Path modelBasePath model Base Path data Base params	Missing basePath Bayes job InMemoryDataStore base Path Memory Data Store
583	files file create Loss loss directory data chunk sequence	Loss data create sequence files directory
602	Implementation org display wiki operations confluence fails apache cwiki https	Partial Implementation throws exceptions
604	Bayes Classifier training exception throws tested data fails	Bayes Classifier fails data training data
610	cooccurences class WeightedCoocurrenceArray Weighted Coocurrence Array Row Similarity similarity tests Recommender noticed SimilarityReducer Similarity Reducer	Coocurrences SimilarityReducer Similarity Reducer
614	Output Format File classifier baytes mahout error Hadoop work org	org apache mahout classifier baytes MultipleOutputFormat working intended Hadoop Multiple Output Format
625	test support pattern data higher noticed patterns note point project	generated patterns support higher reality
631	Weighted Running weighted handling WeightedRunningAverage Weighted Running Average Average Small Std WeightedRunningAverageAndStdDev Weighted Running Average Std Dev datum	Small bug WeightedRunningAverage add WeightedRunningAverageAndStdDev Weighted Running Average Weighted Running Average Std Dev
641	Distributed Matrix Conf Row method Job TransposeJob Transpose Job Configuration Squared Transpose	DistributedRowMatrix hadoop jobs ignore Configuration set setConf Distributed Row Matrix set Conf
678	Gradient Null Mixed Exception alpha MixedGradient Mixed Gradient OnlineLogisticRegression Online Logistic Regression category method Pointer	NullPointerException MixedGradient SGD algorithm Null Pointer Exception Mixed Gradient
