526	forest Builder Tree building DefaultTreeBuilder Default Tree Builder	Infinite Recursion DefaultTreeBuilder Default Tree Builder
552	Vector Vectors vectors Named Cluster sparse names Sparse clustering NamedVectors Named Vectors	AbstractCluster eliminates NamedVectors replacing RandomAccessSparseVector Abstract Cluster Named Vectors Random Access Sparse Vector
561	TestClassifier Test Classifier Classifier	TestClassifier correctly handle type source command parameters Test Classifier
564	KMeansClusterer KMeans Clusterer distance distanceThreshold distance Threshold KMeans convergence convergenceDelta convergence Delta clusters Cluster Clusterer	KMeansClusterer distanceThreshold parameter testConvergence Iterable Cluster clusters double distanceThreshold method KMeans Clusterer distance Threshold test Convergence distance Threshold
565	bits bit minhash feature	Features incorrectly hashed Minhash
576	preference userid updateItemPref update Item Pref update DiffStorage Diff Storage AVG updating Preference Average JDBC	AbstractJDBCDiffStorage updateItemPref updating AVG incorrectly cases Abstract JDBCDiff Storage update Item Pref
580	modelBasePath model Base Path BayesParameters Bayes Parameters HBase HBaseDataStore HBase Data Store basePath base Path Bayes Parameters params Base base	Missing basePath Bayes job InMemoryDataStore base Path Memory Data Store
583	file files	Loss data create sequence files directory
602	Partial Implementation MAHOUT confluence org wiki display throws exceptions apache	Partial Implementation throws exceptions
604	Bayes data exception Classifier training tested throws fails	Bayes Classifier fails data training data
610	Similarity CooccurencesMapper Cooccurences Mapper Cooccurences similarity Row RowA Row RowB Row RowPair Row Pair SimilarityReducer Similarity Reducer RecommenderJob Recommender Job	Coocurrences SimilarityReducer Similarity Reducer
614	MultipleOutputFormat Multiple Output Format baytes FileOutputFormat File Output Format Hadoop Task addresses Configuration classifier records String	org apache mahout classifier baytes MultipleOutputFormat working intended Hadoop Multiple Output Format
625	pattern patterns generated occurs note bug data focus project proves	generated patterns support higher reality
631	Weighted WeightedRunningAverage Weighted Running Average weighted	Small bug WeightedRunningAverage add WeightedRunningAverageAndStdDev Weighted Running Average Weighted Running Average Std Dev
641	Conf TransposeJob Transpose Job Confs setConf set Conf Configuration Transpose	DistributedRowMatrix hadoop jobs ignore Configuration set setConf Distributed Row Matrix set Conf
678	RankingGradient Ranking Gradient Gradient gradient Ranking negative MixedGradient Mixed Gradient NullPointerException Null Pointer Exception positive	NullPointerException MixedGradient SGD algorithm Null Pointer Exception Mixed Gradient
