90428	user button hotmail jabberserver Join usernames group Finish Jabber support	Bug Jabber Provider Character allowed Jabber login names
125572	app IConnectContext IConnect Context threads Sync SOContainer interlocked IConnect TimeSyncInitiator Time Sync Initiator SyncSOClientContainer Sync SOClient Container Thread	Bug ECF Generic provider thread interlock
134483	Application ECFPlugin Container Client Factory contructor ContainerFactory Container Factory app Error Initializer	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service remoteservice remote Remote locally remoteContainerOne remote Container local getRemoteServiceReferences Remote Service References registered remoteservices	Bug Local access local remoteservicereference implemented
172958	commands Container command containers Channel setup patch work	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons Restore	Bug Communications preference isn empty
196007	highlights hover display	Bug Presence Hover highlights support pictures
198043	entries contacts groups list recognizer	Bug open contacts dialog doesn recognize users groups
198334	Folders CTabFolders CTab Folders settings Messages appearance view CTab Chat ChatRoomManagerView Chat Room Manager View follow	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl works click text irc underlined problem fine mouse Type	Bug Wrong underline hyperlink recognition
199259	Service Info ServiceInfo Service Info class parameters takes constructors bug	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC problems Connection connection chatroom net Click Ctrl freenode	Bug IRC Wrong connection click hyperlink
204329	remote remoteContainerTwo remote Container IRemoteServiceReference IRemote Service Reference IRemoteServiceContainerAdapter IRemote Service Container Adapter Service client Remote clientTwo client connect getRemoteServiceReferences Remote Service References	Bug remoteservice registry updated adapter accessed connect
205532	subject topic channel chat URL hyperlinked accessed window main handy	Bug IRC add hyperlinking chat subject box
208667	client presence Update instance msn call UNAVAILABLE provider org sendPresenceUpdate send Presence Update	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer XMPP packet message XMPPContainerPresenceHelper XMPPContainer Presence Helper Server handleMessageEvent handle Message Event null Message displayed	Bug message XMPP Server displayed
222824	user XMPP port gmail provider default host ignores catch	Bug XMPP doesn work port Google Talk Host
222868	password entered MSN Select connection wizard Open	Bug MSN mail password entered Finish button clicked
233808	IDIService Discovery discovery Service DiscoveryTest Discovery Test IService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener tests Test test	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN connect bug CPU process Eclipse bit hour chosen stays	Bug MSN CPU usage increases connecting
242950	Timeout Container timeouts IRC Exception IRCChannel targetID target connecting connect TimeoutException Timeout Exception	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResource IResourceID IResource identity core interface URI package	Bug api add IResourceID IResource
254833	jslp eclipse Bundle provider org Advertiser Context slp Locator Activator	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IService IServiceID IService Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery getServiceName Service IServiceInfo IService Info registerService register Service identity jmdns	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service IService service IServiceID IService getServiceName Service identity discovery hostname org eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNSDiscoveryContainer JMDNSDiscovery Container jmdns JMDNS JMDNSDiscovery IService Service IServiceInfo IService Info provider container Container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPService JSLPServiceInfo JSLPService Info IService jslp Security IServiceInfo IService Info java eclipse org provider	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update fails opens NPEs number tools Framework Release SDK	NPE status code
259233	path discovery URI lost segment	Bug Discovery JMDNS URI path lost discovery
259389	net atid tracker detail aid func group	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Pause URLRetrieve PAUSE read noticed Test paused changed working	Bug pause reads entire resource HttpClient provider Http Client
266120	Service servicetypes getServiceTypeIDs Service Type IDs naming authority service Type default IDs set	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Generic generic GenericServerContainer Generic Server Container Container Service IRemoteServiceContainerAdapter IRemote Service Container Adapter support Server server AbstractGenericServer Abstract Generic Server	Bug server supporrt remoteservice container adapter generic server
270332	reference fixed problems patch strange attached channels docshare subject called	Bug called DocShares ECF Generic group handling Doc Shares
273135	println String StringBuffer String Buffer implementation Buffer invokes parameter message	Bug LogService implementation misses details logging Log Service
282667	IOException fails Analyzer Code impl ethz CodeAnalyzer Code Analyzer bug osgi Comment	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
