90428	jabberserver Jabber username usernames hotmail user	Bug Jabber Provider Character allowed Jabber login names
125572	IConnectContext IConnect Context IConnect TimeSyncTask Time Sync Task TimeSyncInitiator Time Sync Initiator ClientSOContainer Client SOContainer sendTimeSyncMessage send Time Sync Message Client SOContainer SOClient isConnected Connected	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory Container ClientApplication Client Application Client ecf ECF	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	remote Remote remoteContainerOne remote Container local locally bug bugs remoteservice remoteservices getRemoteServiceReferences Remote Service References	Bug Local access local remoteservicereference implemented
172958	containers Container command commands	Bug IRC Patch commands Root Channel Containers
192574	Defaults settings buttons	Bug Communications preference isn empty
196007	hover highlights pictures	Bug Presence Hover highlights support pictures
198043	groups contacts open	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders Folders	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	underlined click problem Open Ctrl	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info Service constructors bug Info	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	irc IRC Connection connection	Bug IRC Wrong connection click hyperlink
204329	getRemoteServiceReferences Remote Service References IRemoteServiceReference IRemote Service Reference remote Remote remoteContainerTwo remote Container server client	Bug remoteservice registry updated adapter accessed connect
205532	subject topic hyperlinked	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update MSNContainer msn Update Message setPersonalMessage set Personal Message Presence presence null UNAVAILABLE	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packet	Bug message XMPP Server displayed
222824	XMPP port talk host gmail	Bug XMPP doesn work port Google Talk Host
222868	password MSN entered connection Steps wizard Open Select	Bug MSN mail password entered Finish button clicked
233808	IService Discovery discovery IDIService DiscoveryTest Discovery Test Service test Test tests	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
