90428	Jabber disables button user hotmail login action group jabberserver ECF	Bug Jabber Provider Character allowed Jabber login names
125572	provider ECF Sync Time Client Initiator app SOContainer Thread Container	Bug ECF Generic provider thread interlock
134483	Client Application Null ECFPlugin Pointer ClientApplication Client Application ContainerFactory Container Factory Container Eclipse Error	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bugs bug Service assertion local cgi refsOne TEST access remote	Bug Local access local remoteservicereference implemented
172958	command Containers Patch Bug Container IRC Channel setup commands work	Bug IRC Patch commands Root Channel Containers
192574	settings buttons Defaults isn preference Communications Apply Bug Restore empty	Bug Communications preference isn empty
196007	Presence Hover highlights pictures parse supports support display Bug cool	Bug Presence Hover highlights support pictures
198043	contacts dialog groups users list entries doesn open Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	settings Manager Folders CTabFolders CTab Folders Room ChatRoomManagerView Chat Room Manager View CTab Chat patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	Ctrl irc IRC text hyperlink move click problem Chatroom Bug	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors discovery Service smaller class Info Bug bug parameters	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection irc editor IRC Click freenode eclipse channel chatroom Ctrl	Bug IRC Wrong connection click hyperlink
204329	client container Adapter Service adapter getAdapter Adapter remote accessed registry Container	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat channel accessed hyperlinking account IRC topic box	Bug IRC add hyperlinking chat subject box
208667	msn presence Pointer Null client Presence UNAVAILABLE sendPresenceUpdate send Presence Update type null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	Message server Server null packet message Presence form XMPP jivesoftware	Bug message XMPP Server displayed
222824	Google port gmail user talk XMPP provider default ignores Talk	Bug XMPP doesn work port Google Talk Host
222868	MSN button password mail connection clicked Finish Bug wizard entered	Bug MSN mail password entered Finish button clicked
