90428	Jabber action user button hotmail login ECF group Provider Character	Bug Jabber Provider Character allowed Jabber login names
125572	Initiator Sync ECF SOContainer provider Client Time ClientSOContainer Client SOContainer SyncSOClientContainer Sync SOClient Container app	Bug ECF Generic provider thread interlock
134483	Client ECFPlugin ClientApplication Client Application ContainerFactory Container Factory Application Container Null Factory Eclipse Pointer	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug bugs Service assertion refsOne access issues Woodward Paul getRemoteServiceReferences Remote Service References	Bug Local access local remoteservicereference implemented
172958	Patch command Containers Bug IRC Channel work Container setup commands	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	Presence pictures Hover support highlights parse display supports Bug cool	Bug Presence Hover highlights support pictures
198043	groups contacts entries dialog list users Bug doesn open recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Room settings Manager Chat Folders CTab patch appearance	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	IRC irc Ctrl Chatroom hyperlink move Bug fine problem foobar	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class discovery Info parameters smaller bug cumbersome	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC editor freenode irc channel chatroom eclipse net problems	Bug IRC Wrong connection click hyperlink
204329	Adapter client remoteContainerTwo remote Container getAdapter Adapter replica IRemote adapter container Service registry	Bug remoteservice registry updated adapter accessed connect
205532	chat subject URL channel account IRC hyperlinking topic box hyperlinked	Bug IRC add hyperlinking chat subject box
208667	presence msn sendPresenceUpdate send Presence Update client Presence UNAVAILABLE MSNContainer Personal Update null	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet server Message null message form XMPPContainerPresenceHelper XMPPContainer Presence Helper Presence Server XMPPContainer	Bug message XMPP Server displayed
222824	user port Google provider default talk Host XMPP Bug catch	Bug XMPP doesn work port Google Talk Host
222868	password MSN mail connection button entered Bug wizard clicked Finish	Bug MSN mail password entered Finish button clicked
233808	Test Listener IService provider Discovery IDIService SLP testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener discovery Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	CPU MSN bit usage Eclipse sun bug report seconds java	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannel Container IRCChannelContainer IRCChannel Container NPE target plugin IRC provider irc	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI dev IResource core mailing eclipse environment CDC html	Bug api add IResourceID IResource
254833	Bundle consumer service BundleContext Bundle Context system jslp SLP eclipse Advertiser org	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService registerService register Service Service getServiceName Service JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container hostname Container checks	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service discovery service Service IServiceID IService Discovery fall fine isn SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service JMDNS Info Container JMDNSDiscoveryContainer JMDNSDiscovery Container IService JMDNSDiscovery weight priority exchanges	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService SecurityException Security Exception IServiceInfo IService Info jslp IService Info eclipse Security doesn	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK EMF Framework code Eclipse Graphical log Modelling Install	NPE status code
