59	DateUtils Utils Calendar MST MDT	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum compareTo compare compare Enum enums values Valued	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	getTimeInMillis Time Millis currentTimeMillis current Time Millis Duration DurationFormatUtils Duration Format Utils Time Millis format Format	DurationFormatUtils returns wrong result Duration Format Utils
292	testNumberOverflow test Number Overflow Number xFFFF FFFF FFFF EntitiesTest Entities Test Unescape test Test Overflow	unescapeXml unescape Xml
295	StrBuilder Str Builder Str thisBuf Buf Buf	StrBuilder usages thisBuf length size Str Builder Buf
299	append ArrayIndexOutOfBoundsException Array Bounds Exception Array appendFixedWidthPadLeft append Fixed Width Pad Left appendFixedWidthPadRight append Fixed Width Pad str width padChar pad Char Char pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception Digits isDigits Digits numeric	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	cAvailableLocaleSet Locale Set NullPointerException Null Pointer Exception Locale LocaleUtils Locale Utils Null availableLocaleSet Locale Set lang initialized constructor cAvailableSet Set	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	pause StopWatch Watch Watch suspend continue getTime Time Time	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country toString String String	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes seconds TimeZone Time Zone getTime Time getTimeZone Time Zone GMT Jul DateUtils Utils testCalendar test Calendar	Dates behaves incorrectly minutes seconds
363	javaScriptEscape java Script Escape JavaScriptUtils Java Script Utils JavascriptEscape Javascript Escape Javascript escape Escape String escapeJavaScript escape Java Script Java Javascripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean BooleanUtils Boolean Utils false	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale FastDateFormat Fast Format Time	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Summary	infinite loop Fraction reduce numerator
393	BigDecimal Big Decimal compare comparing Decimal compareTo compare equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null getNullText Null Text Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	WordUtils Word Utils Word String string substring str greater upper abbreviate	WordUtils abbreviate bug greater str length Word Utils
432	Case case sensitive insensitive Bug Bugs	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception digit LANG Exception String Bounds	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Message ExtendedMessageFormat Extended Message Format ExtendedMessageFormatTest Extended Message Format Test Format format Extended formatRegistry format Registry FORMAT formatted	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	utf unicode escapeHtml escape Html Html StringEscapeUtils String Escape Utils String Characters characters escape Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number decimal Number NumberUtils Number Utils isNumber Number Decimal Digit foundDigit Digit BigDecimal Big Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	TimeZone Time Zone Calendar getTimeZone Time Zone GMT Time GregorianCalendar Gregorian Calendar dateTime Time Calendars noformat locale	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replacementList replacement List replaceEach replace replace StringUtilsTest String Utils Test StringUtils String Utils Test searchList search List junit	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread leak commons	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587		ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Number StringIndexOutOfBoundsException String Bounds Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format SimpleDateFormat Simple Format Week firstDayOfWeek Day Week week Locale locale minimalDaysInFirstWeek minimal Days Week Days Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Denominator FractionTest Fraction Test test denominator Integer Test Divisor gcd	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils isNumber Number Digit foundDigit Digit hasExp Exp	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils setTimeInMillis set Time Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year YYY JDK Javadoc format Format FastDateFormat Fast Format SimpleDateFormat Simple Format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils Integer NumberFormatException Number Format Exception	NumberUtils handle upper case hex Number Utils
747	Integer Number NumberUtils Number Utils numbers createNumber create Number createLong create Long create digits	NumberUtils handle Long Hex numbers Number Utils
788	Serialization primitiveTypeClassSerialization primitive Type Class Serialization ObjectInputStream Object Input Stream primitiveType primitive Type Class SerializationUtilsTest Serialization Utils Test SerializationUtils Serialization Utils primitive resolveClass resolve Class ObjectStreamClass Object Stream Class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	length null char empty size Int int random useless chars	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	RandomUtils Random Utils Random Utils Int nextInt Int	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal BigDecimal Big Decimal NumberFormatException Number Format Exception create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser SimpleDateFormat Simple Format parse parsed	FastDateParser handle white space properly Fast Parser
832	SimpleDateFormat Simple Format quotes parse parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String char CharSequence Char Sequence CharBuffer Char Buffer StringEscapeUtils String Escape Utils toString String lookupMap lookup Map toCharArray Char Array HashMap Hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
