59	MDT DAY result hours Calendar hour Utils switching DST DateUtils Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	values Object typesafe classes ValuedEnum Valued Enum return Enum int Valued lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar set Time result String Duration DurationFormatUtils Duration Format Utils System Period Dec	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test reference entity doTestUnescapeEntity Test Unescape Entity Entity Exception EntitiesTest Entities Test Unescape void	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder places Builder reference LANG noticed shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	size width Pad method str Array Width Char pad obj	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number string Format NumberFormatException Number Format Exception return Exception createNumber create Number empty fine substring	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Null Exception Find source Locale NullPointerException Null Pointer Exception Pointer Set Bugs called	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter acts opinion shouldn bug sleep pause StopWatch Watch	StopWatch suspend acts split Watch
328	case language country Locale toLocale Locale code Configuration LocaleUtils Locale Utils variant POSIX	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar test Time Mon System CDT appears println Jul	Dates behaves incorrectly minutes seconds
363	Escape Java Utils script org String Spring document Script web	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	case test toBoolean Boolean String Exception Boolean BooleanUtils Boolean Utils source statement unit	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance locale case Format key Locale methods Time Fast getDateTimeInstance Time Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce infinite numerator pretty Summary	infinite loop Fraction reduce numerator
393	Big compare compareTo compare Decimal case BigDecimal Big Decimal equals don comparing Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Fixed pointer Null exception appendFixedWidth append Fixed Width null set Builder width getNullText Null Text	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	length string String Word str throw upper StringIndexOutOfBoundsException String Bounds Exception Exception greater	WordUtils abbreviate bug greater str length Word Utils
432	Case Bugs Common http String locale Bug case intended html	case insensitive string handling
457	String Number Exception StringIndexOutOfBoundsException String Bounds Exception place front Bounds don passed createNumber create Number	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Extended Format code String Message ExtendedMessageFormat Extended Message Format title Memory formatRegistry format Registry	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters data representation unicode escape problem test Exception org	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	return Number number Point code isNumber Number Dec Exp point block	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format test format Zone problem change TimeZone Time Zone noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	case String replacement Test code replaceEach replace replace List StringUtils String Utils Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String Style application web org created ToStringStyle String Style thread LANG	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object Class NPE element toClass Class Utils array throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number Exception String passed StringIndexOutOfBoundsException String Bounds Exception Format indicators argument createNumber create Number create	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format Week Simple locale Fast FastDateFormat Fast Format format set year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer method code case test MIN Reduced void getReducedFraction Reduced Fraction	org apache commons lang math Fraction reduce Integer MIN
664	return code Number String change hasExp Exp Digit allowing isNumber Number java	NumberUtils isNumber String String Number Utils Number
677	Time Calendar Local method isSameLocalTime Local Time False Utils DateUtils Utils class HOUR	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern year Format Java Simple SimpleDateFormat Simple Format number format bug Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case NumberFormatException Number Format Exception Integer work createNumber create Number Format upper handles Utils	NumberUtils handle upper case hex Number Utils
747	Long Number numbers Integer hex create handle createLong create Long check createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Exception class ClassNotFoundException Class Exception Input noformat Serialization SerializationUtils Serialization Utils Object Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code start ends Int random array gap exception user String	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Argument start String Utils problem Illegal source identify lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Big Number BigDecimal Big Decimal create behaviour work createNumber create Number invocations leading returns	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	space Fast FDP FastDateParser Fast Parser white dates Simple parse Format parsed	FastDateParser handle white space properly Fast Parser
832	format Simple parse handle quotes Format works correctly unterminated handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	String work code CharSequence Char Sequence Sequence Char translate Code implemented CharBuffer Char Buffer	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
