59	Utils MDT DAY oct hour DST DateUtils Utils Equals hours buggy	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	int classes apache typesafe Enum ValuedEnum Valued Enum commons org values lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration Time Utils set Format String DurationFormatUtils Duration Format Utils result Period	DurationFormatUtils returns wrong result Duration Format Utils
292	Entity test Test doTestUnescapeEntity Test Unescape Entity reference entity EntitiesTest Entities Test Unescape testNumberOverflow test Number Overflow unescape	unescapeXml unescape Xml
295	Str length LANG shouldn thisBuf Buf StrBuilder Str Builder Builder Buf size noticed	StrBuilder usages thisBuf length size Str Builder Buf
299	width str obj Pad int size Width Char method pad	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number Format Utils substring NumberFormatException Number Format Exception numeric createNumber create Number string Exception empty	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Null apache Bugs initialized Exception Locale FindBugs Find Bugs NullPointerException Null Pointer Exception constructor Utils	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time suspend counter shouldn pause StopWatch Watch acts Watch bug	StopWatch suspend acts split Watch
328	Locale code language toLocale Locale POSIX case LocaleUtils Locale Utils Configuration country variant	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar Mon Time test Jul CDT seconds println produces	Dates behaves incorrectly minutes seconds
363	Utils org Script script Escape Java String scripts Spring util	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	Boolean case statement toBoolean Boolean BooleanUtils Boolean Utils String Utils test Exception StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Instance Format Locale key methods case Time getDateTimeInstance Time Instance getDateInstance Instance	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	loop reduce Fraction pretty infinite Summary numerator	infinite loop Fraction reduce numerator
393	Big compareTo compare compare comparing BigDecimal Big Decimal equals Decimal don Decimals Builder	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Fixed nulls appendFixedWidth append Fixed Width Builder pointer Width getNullText Null Text null width Null	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	str String Word string length substring Utils StringIndexOutOfBoundsException String Bounds Exception bug upper	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case String insensitive http locale html Bug case sensitive	case insensitive string handling
457	String Utils Number StringIndexOutOfBoundsException String Bounds Exception front Exception Bounds thows createNumber create Number don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format code String Extended QUOTE ExtendedMessageFormat Extended Message Format Message pattern Dummy	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode String byte org characters data Utils Escape problem DIGIT	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number Exp return decimal Decimal isNumber Number Utils code number chars	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format problem test format zone cal TimeZone Time Zone constructed	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replacement Utils String case replaceEach replace replace Test org null StringUtils String Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org String thread Style application memory web Thread ToStringStyle String Style reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object Class toClass Class Utils element NPE array throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String Number Exception Utils StringIndexOutOfBoundsException String Bounds Exception Format createNumber create Number NumberUtils Number Utils indicators passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	locale Format week FastDateFormat Fast Format format Week SimpleDateFormat Simple Format Simple println Locale	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer method case code MIN test Fraction int Equals void	org apache commons lang math Fraction reduce Integer MIN
664	String return Number code chars Exp hasExp Exp change Dec Utils	NumberUtils isNumber String String Number Utils Number
677	Utils HOUR isSameLocalTime Local Time Calendar Time Local DateUtils Utils False method Assert	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Format Java bug SimpleDateFormat Simple Format year behavior Simple Fast number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number Format Integer NumberFormatException Number Format Exception handles case Utils decode createNumber create Number work	NumberUtils handle upper case hex Number Utils
747	hex Number Integer Long handle numbers Utils createLong create Long createNumber create Number create	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization Exception class ClassNotFoundException Class Exception Input noformat clone bug Object	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code ends Utils random int gap start String chars Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Utils Argument String Random problem Illegal source lang confusing IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Format Big BigDecimal Big Decimal behaviour Java createNumber create Number work problem versions	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	Javadoc Parser FastDateParser Fast Parser FDP parse dates Simple space Format treat	FastDateParser handle white space properly Fast Parser
832	format parse handle quotes Simple correctly unterminated Format FastDateParser Fast Parser SimpleDateFormat Simple Format	FastDateParser handle unterminated quotes correctly Fast Parser
882	String code CharSequence Char Sequence Sequence Char Utils work equals implemented char	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
