59	MDT Utils hour DateUtils Utils Equals Calendar DST lang buggy hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	ValuedEnum Valued Enum Enum typesafe values compareTo compare classes Object int lang org	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar Duration Time DurationFormatUtils Duration Format Utils set String Dec Utils getTimeInMillis Time Millis result	DurationFormatUtils returns wrong result Duration Format Utils
292	test EntitiesTest Entities Test doTestUnescapeEntity Test Unescape Entity Test Entity reference entity Unescape unescape testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length thisBuf Buf Str StrBuilder Str Builder Builder LANG Buf shouldn size places	StrBuilder usages thisBuf length size Str Builder Buf
299	str size width pad Pad method Width obj Char padChar pad Char	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception createNumber create Number Format string Exception NumberUtils Number Utils Utils substring digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null FindBugs Find Bugs NullPointerException Null Pointer Exception Exception cAvailableLocaleSet Locale Set LocaleUtils Locale Utils Bugs Pointer Field	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts suspend bug StopWatch Watch getTime Time opinion	StopWatch suspend acts split Watch
328	Locale toLocale Locale language LocaleUtils Locale Utils country case POSIX PropertyConverter Property Converter code string	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	Calendar minutes test Time seconds Mon println CDT DateUtils Utils System	Dates behaves incorrectly minutes seconds
363	String Escape Utils scripts org script escape Spring Java println	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case test statement String source Exception StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Locale case getDateInstance Instance getDateTimeInstance Time Instance Instance Format Hash FastDateFormat Fast Format methods	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce pretty Summary infinite	infinite loop Fraction reduce numerator
393	compareTo compare Big Decimals BigDecimal Big Decimal compare EqualsBuilder Equals Builder Decimal comparing Builder BigDecimals Big Decimals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	pointer Null Fixed appendFixedWidth append Fixed Width Builder getNullText Null Text width null StrBuilder Str Builder exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str length String Word StringIndexOutOfBoundsException String Bounds Exception Utils Exception substring upper	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case String locale http insensitive string case Bug sensitive	case insensitive string handling
457	String StringIndexOutOfBoundsException String Bounds Exception Number createNumber create Number front Exception Bounds Utils NumberUtils Number Utils digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry appendTo append ExtendedMessageFormat Extended Message Format code Extended formattedPattern formatted Pattern String java	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String characters escapeHtml escape Html StringEscapeUtils String Escape Utils unicode problem org escape utf Escape	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number return isNumber Number code Point Decimal Exp Dec hasDecPoint Dec Point	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar test Format format Zone TimeZone Time Zone problem noformat GregorianCalendar Gregorian Calendar	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement replacementList replacement List case Test Utils StringUtils String Utils searchList search List org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	org memory String ToStringStyle String Style thread web LANG Style application reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
