59	MDT Utils hour Equals DST lang buggy hours DateUtils Utils DAY	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	Enum typesafe values ValuedEnum Valued Enum compareTo compare classes Valued Object int lang	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	Calendar DurationFormatUtils Duration Format Utils Duration set String Time Dec Utils getTimeInMillis Time Millis result	DurationFormatUtils returns wrong result Duration Format Utils
292	test Test doTestUnescapeEntity Test Unescape Entity EntitiesTest Entities Test Entity reference entity Unescape xFFFF FFFF testNumberOverflow test Number Overflow	unescapeXml unescape Xml
295	length Str thisBuf Buf StrBuilder Str Builder Builder LANG size shouldn Buf places	StrBuilder usages thisBuf length size Str Builder Buf
299	str width size pad method Pad Width obj Char strLen str Len	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	Number NumberFormatException Number Format Exception Format createNumber create Number string Exception Utils substring isDigits Digits digit	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null NullPointerException Null Pointer Exception Exception cAvailableLocaleSet Locale Set Bugs Pointer LocaleUtils Locale Utils FindBugs Find Bugs Field	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	Time time counter shouldn acts bug getTime Time StopWatch Watch opinion Watch	StopWatch suspend acts split Watch
328	Locale toLocale Locale LocaleUtils Locale Utils language country case POSIX code string Utils	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes Calendar test Time seconds Mon println CDT TimeZone Time Zone DateUtils Utils	Dates behaves incorrectly minutes seconds
363	Escape String Utils org escape script Spring Java println scripts	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case test statement String source Exception StringIndexOutOfBoundsException String Bounds Exception	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	locale Locale case getDateInstance Instance getDateTimeInstance Time Instance Instance Format FastDateFormat Fast Format methods Time	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop numerator reduce pretty Summary infinite	infinite loop Fraction reduce numerator
393	Big compareTo compare compare BigDecimal Big Decimal Decimals Decimal EqualsBuilder Equals Builder Builder comparing don	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	pointer Null Fixed appendFixedWidth append Fixed Width Builder getNullText Null Text width null StrBuilder Str Builder exception	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string length str String StringIndexOutOfBoundsException String Bounds Exception Word Utils Exception substring upper	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Case String locale http insensitive string case Bug sensitive	case insensitive string handling
457	Number String StringIndexOutOfBoundsException String Bounds Exception front Exception Bounds Utils NumberUtils Number Utils createNumber create Number digit	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
