59	MDT HOUR truncate hour MST DateUtils Utils result oct assert DAY	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	int ValuedEnum Valued Enum org commons values apache Valued typesafe Enum classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	MONTH Calendar DAY result set cal Format Time format Duration	DurationFormatUtils returns wrong result Duration Format Utils
292	Test test doTestUnescapeEntity Test Unescape Entity unescape reference entity void Entity testNumberOverflow test Number Overflow throws	unescapeXml unescape Xml
295	length Str StrBuilder Str Builder size thisBuf Buf LANG Builder noticed places shouldn	StrBuilder usages thisBuf length size Str Builder Buf
299	width str Pad obj int size pad method strLen str Len StrBuilder Str Builder	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	numeric substring Number fine NumberFormatException Number Format Exception string createNumber create Number isDigits Digits empty throws	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null Set initialized apache commons NullPointerException Null Pointer Exception source called pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend resume Time time doesn shouldn counter increase acts bug	StopWatch suspend acts split Watch
328	POSIX Locale JDK toLocale Locale variant case string language LocaleUtils Locale Utils strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds Calendar test Mon Jul CDT Time behaves output	Dates behaves incorrectly minutes seconds
363	util Escape escape Java script str String Spring Utils uncorrectly	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	String toBoolean Boolean BooleanUtils Boolean Utils case Boolean source StringIndexOutOfBoundsException String Bounds Exception statement false test	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance Locale locale Hash methods key case Fast Format test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	reduce pretty loop infinite Fraction Summary numerator	infinite loop Fraction reduce numerator
393	compare Big comparing BigDecimal Big Decimal don compareTo compare equals correctly Equals case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null set handle null exception Builder pointer nulls appendFixedWidth append Fixed Width Str	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String upper length str abbreviate Word greater Bounds StringIndexOutOfBoundsException String Bounds Exception	WordUtils abbreviate bug greater str length Word Utils
432	Bugs String Case string html insensitive Common locale Bug http	case insensitive string handling
457	don String createNumber create Number Bounds Number thows StringIndexOutOfBoundsException String Bounds Exception throws place LANG	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format QUOTE format FORMAT formatted String code ExtendedMessageFormat Extended Message Format Extended append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	unicode characters COUNTING escape String incorrectly Utils displays problem escapeHtml escape Html	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	number Number point return points decimal chars exponent isNumber Number Decimal	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	format zone Format Calendar Time test dateTime Time Calendars cal noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	replace replacement null String case replaceEach replace Test StringUtils String Utils Assert replacementList replacement List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	String org web remove webapp loading ToStringStyle String Style memory created thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class NPE Class Object array null throws Utils element ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	String argument createNumber create Number Number NumberFormatException Number Format Exception throws Exception StringIndexOutOfBoundsException String Bounds Exception Bounds indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	year Format week Week set format locale Simple FastDateFormat Fast Format SimpleDateFormat Simple Format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	test case Test Fraction MIN Integer Reduced method result code	org apache commons lang math Fraction reduce Integer MIN
664	code String Dec hasExp Exp Digit Number Java hasDecPoint Dec Point allowing return	NumberUtils isNumber String String Number Utils Number
677	HOUR isSameLocalTime Local Time DateUtils Utils Utils Time Calendar cal method DAY set	DateUtils isSameLocalTime work correct Utils Local Time
719	Format formatted Javadoc Java formats pattern year Fast SimpleDateFormat Simple Format bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	handles Number upper NumberFormatException Number Format Exception Integer decode Format generates createNumber create Number NumberUtils Number Utils	NumberUtils handle upper case hex Number Utils
747	handles handle Long hex Integer numbers create Number createNumber create Number decode	NumberUtils handle Long Hex numbers Number Utils
788	Class class Object ClassNotFoundException Class Exception bug String noformat SerializationUtils Serialization Utils Serialization primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random Random chars code lang array start Bounds false Array	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Argument start throws Illegal identify Random source confusing Utils String	RandomStringUtils throws confusing IAE start Random String Utils
822	nulll leading Number create Big invocations Format BigDecimal Big Decimal bad contrary	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	parse treat parsed treats Parser white space Fast Javadoc FastDateParser Fast Parser	FastDateParser handle white space properly Fast Parser
832	format unterminated parse quotes handle works Simple correctly Parser fail	FastDateParser handle unterminated quotes correctly Fast Parser
882	work implemented equals CharSequence Char Sequence Javadoc String Char code escape translate	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
