59	MDT MST truncate hour DateUtils Utils result oct assert switching hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
259	int ValuedEnum Valued Enum org commons values apache Valued typesafe Enum classes	ValuedEnum compareTo Object typesafe easily Valued Enum compare
281	MONTH Calendar result set Format cal Time format Duration DAY	DurationFormatUtils returns wrong result Duration Format Utils
292	Entity reference Test testNumberOverflow test Number Overflow doTestUnescapeEntity Test Unescape Entity java xFFFF FFFF unescape void test	unescapeXml unescape Xml
295	length Builder Str noticed LANG thisBuf Buf fixing shouldn mistaken StrBuilder Str Builder	StrBuilder usages thisBuf length size Str Builder Buf
299	Null method str pad size Builder Str StrBuilder Str Builder strLen str Len ensure	Bug method appendFixedWidthPadRight class StrBuilder ArrayIndexOutOfBoundsException append Fixed Width Pad Str Builder Array Bounds Exception
300	string numeric NumberFormatException Number Format Exception createNumber create Number substring false Number throws works fine	NumberUtils createNumber throws NumberFormatException digit long Number Utils create Number Number Format Exception
304	Locale Null Set initialized apache commons NullPointerException Null Pointer Exception source called pointed	NullPointerException isAvailableLocale Locale Null Pointer Exception Locale
315	suspend Time doesn counter shouldn acts resume increase getTime Time StopWatch Watch	StopWatch suspend acts split Watch
328	Locale string language variant country Configuration toLocale Locale code case strings	LocaleUtils toLocale rejects strings language variant Locale Utils Locale
346	minutes seconds Calendar test CDT Time behaves output produces Mon	Dates behaves incorrectly minutes seconds
363	String uncorrectly find Script script Spring escapeJavaScript escape Java Script including JavaScriptUtils Java Script Utils apache	StringEscapeUtils escapeJavaScript method escape render uncorrectly String Escape Utils escape Java Script
365	String toBoolean Boolean BooleanUtils Boolean Utils case Boolean source StringIndexOutOfBoundsException String Bounds Exception statement false test	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	Instance Locale locale Hash methods key case Fast Format test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	reduce pretty loop infinite Fraction Summary numerator	infinite loop Fraction reduce numerator
393	compare Big comparing BigDecimal Big Decimal don compareTo compare equals correctly Equals case	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
