90428	Jabber hotmail user jabberserver username usernames group disables Join character	Bug Jabber Provider Character allowed Jabber login names
125572	Sync ECF Initiator Client provider Time SOContainer TimeSyncInitiator Time Sync Initiator ClientSOContainer Client SOContainer IConnect	Bug ECF Generic provider thread interlock
134483	ECFPlugin Client ContainerFactory Container Factory ClientApplication Client Application Container Application ecf Null Factory Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	bug Service bugs refsOne assertion issues getRemoteServiceReferences Remote Service References access Woodward remoteservice	Bug Local access local remoteservicereference implemented
172958	command Channel commands Container IRC Patch setup containers work acceptable	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Communications Apply Bug Restore affect	Bug Communications preference isn empty
196007	pictures highlights Presence display supports parse Hover support hover cool	Bug Presence Hover highlights support pictures
198043	groups contacts entries list dialog open users doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Room settings CTab Folders Manager Chat view patch	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc Ctrl problem IRC fine hyperlink move works foobar text	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class Info discovery parameters smaller bug takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	connection IRC freenode irc editor chatroom Connection channel net appears	Bug IRC Wrong connection click hyperlink
204329	Adapter getAdapter Adapter client remoteContainerTwo remote Container IRemote adapter Service registry remote IRemoteServiceContainerAdapter IRemote Service Container Adapter	Bug remoteservice registry updated adapter accessed connect
205532	URL subject chat channel topic account accessed hyperlinking hyperlinked IRC	Bug IRC add hyperlinking chat subject box
208667	msn sendPresenceUpdate send Presence Update client presence UNAVAILABLE null MSNContainer Update Presence send	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet Message null server message Server XMPPContainer XMPPContainerPresenceHelper XMPPContainer Presence Helper packetExtensions packet Extensions Presence	Bug message XMPP Server displayed
222824	user port XMPP Google provider talk gmail default host catch	Bug XMPP doesn work port Google Talk Host
222868	password MSN connection mail entered button wizard Steps Finish Bug	Bug MSN mail password entered Finish button clicked
