90428	Jabber jabberserver hotmail username user usernames login action disables group	Bug Jabber Provider Character allowed Jabber login names
125572	Sync Initiator IConnect ECF provider ClientSOContainer Client SOContainer TimeSyncInitiator Time Sync Initiator Client IConnectContext IConnect Context Time	Bug ECF Generic provider thread interlock
134483	ECFPlugin ContainerFactory Container Factory Container Client ClientApplication Client Application Application ecf Factory Initializer Eclipse	Bug Standalone ClientApplication breaks ContainerFactory ECFPlugin Client Application Container Factory
165815	Service bug bugs assertion remoteservice refsOne access getRemoteServiceReferences Remote Service References remote issues	Bug Local access local remoteservicereference implemented
172958	command Container IRC Channel Patch containers commands setup work Bug	Bug IRC Patch commands Root Channel Containers
192574	settings Defaults buttons isn preference Communications Bug Apply empty affect	Bug Communications preference isn empty
196007	pictures Presence highlights Hover support parse hover supports display XMPP	Bug Presence Hover highlights support pictures
198043	groups contacts entries list dialog open users doesn Bug recognize	Bug open contacts dialog doesn recognize users groups
198334	CTabFolders CTab Folders ChatRoomManagerView Chat Room Manager View Folders CTab Manager Room settings Chat patch view	Bug messages view CTabFolders doesn follow appearance settings CTab Folders
198731	irc problem IRC fine Ctrl hyperlink move underlined Chatroom Bug	Bug Wrong underline hyperlink recognition
199259	ServiceInfo Service Info constructors Service class discovery Info smaller parameters cumbersome takes	Bug discovery ServiceInfo constructors cumbersome Service Info
199309	IRC connection irc editor freenode net eclipse Connection channel chatroom	Bug IRC Wrong connection click hyperlink
204329	Adapter remoteContainerTwo remote Container getAdapter Adapter IRemote IRemoteServiceContainerAdapter IRemote Service Container Adapter Service client adapter remote registry	Bug remoteservice registry updated adapter accessed connect
205532	subject URL chat channel topic hyperlinking account hyperlinked IRC box	Bug IRC add hyperlinking chat subject box
208667	sendPresenceUpdate send Presence Update msn client MSNContainer presence UNAVAILABLE send null Message Update	Bug msn MSNContainer sendPresenceUpdate throws NullPointerException UNAVAILABLE send Presence Update Null Pointer Exception
221053	packet null Message server XMPPContainer message XMPPContainerPresenceHelper XMPPContainer Presence Helper form Server Presence	Bug message XMPP Server displayed
222824	user port XMPP Google provider talk gmail default Talk host	Bug XMPP doesn work port Google Talk Host
222868	password MSN mail connection entered button Finish Bug wizard Steps	Bug MSN mail password entered Finish button clicked
