access	-0.087402344 -0.18652344 -0.15136719 0.007385254 0.076660156 0.16015625 0.0043945312 0.09423828 0.17089844 -0.10205078 -0.15527344 -0.04345703 -0.1484375 0.092285156 -0.10058594 -0.125 0.14160156 -0.00030899048 0.16601562 -0.23046875 0.03515625 -0.02758789 -0.088378906 0.32226562 -0.006958008 -0.10839844 -0.087890625 0.119140625 -0.026855469 -0.14355469 0.16992188 -0.078125 -0.037109375 -0.23242188 0.13476562 -0.15917969 -0.027832031 -0.39257812 -0.083496094 -0.0026855469 -0.22070312 0.114746094 0.115722656 0.05126953 0.11767578 -0.22753906 -0.14257812 0.15527344 -0.37109375 -0.008178711 0.13085938 -0.21484375 -0.030517578 -0.27734375 -0.21777344 0.017700195 -0.28125 -0.04272461 -0.052490234 0.100097656 -0.106933594 -0.23242188 -0.053222656 -0.09326172 0.03564453 -0.057861328 -0.09082031 0.072753906 0.076171875 0.05834961 0.13867188 -0.026123047 0.48242188 -0.12792969 -0.043701172 -0.18847656 -0.05810547 -0.08935547 0.072265625 0.46289062 0.019165039 0.24316406 0.27148438 0.25585938 0.06640625 0.042236328 -0.21484375 -0.035888672 -0.04321289 -0.001739502 -0.07910156 -0.05444336 0.06225586 -0.33007812 0.15722656 -0.11230469 -0.091796875 0.26171875 0.12792969 -0.05859375 0.060302734 0.095703125 -0.030029297 0.07861328 0.15527344 -0.040039062 -0.13964844 -0.0703125 0.068359375 -0.13867188 0.15917969 -0.12792969 -0.125 -0.22949219 -0.19238281 -0.033447266 -0.044677734 -0.04272461 0.19042969 0.01361084 -0.17773438 0.09375 -0.13964844 0.15429688 0.13378906 0.12988281 -0.1484375 0.107910156 -0.028808594 0.08300781 0.107910156 0.23925781 0.041259766 0.037841797 0.22167969 -0.3046875 0.15429688 -0.18359375 0.035888672 -0.12011719 0.234375 -0.24804688 -0.15722656 0.056396484 0.084472656 -0.1171875 -0.030395508 -0.08300781 -0.25195312 0.016235352 0.08154297 -0.02722168 0.0067749023 -0.14257812 -0.0034179688 -0.13085938 -0.22460938 -0.030517578 -0.39453125 0.012023926 0.044677734 0.103515625 -0.09375 0.05126953 -0.44726562 -0.16796875 -0.23339844 -0.34570312 -0.119140625 -0.26171875 -0.18261719 0.19824219 0.076660156 -0.21484375 0.103027344 -0.21679688 -0.23828125 -0.22460938 -0.30859375 0.13964844 -0.31054688 0.09423828 0.22167969 -0.203125 0.037597656 -0.07470703 0.07324219 -0.17675781 0.20214844 0.0625 -0.06689453 -0.40234375 0.035888672 0.07080078 -0.1875 0.103027344 -0.0859375 -0.12695312 0.19628906 -0.14160156 0.09667969 0.10498047 0.10205078 -0.28320312 -0.15332031 0.111328125 0.009277344 -0.13085938 -0.12451172 0.023803711 0.17773438 0.25 0.18261719 0.18164062 0.110839844 0.14257812 0.32617188 0.020751953 -0.16308594 -0.25 -0.21484375 -0.115234375 0.025390625 -0.021240234 -0.110839844 0.09277344 0.08203125 0.07714844 -0.13183594 -0.12060547 -0.14941406 -0.10595703 0.09082031 -0.014831543 0.13085938 -0.05810547 0.023071289 0.04248047 0.2734375 0.15429688 0.06982422 -0.044433594 -0.14453125 -0.005218506 0.24707031 0.20507812 -0.0041503906 0.20703125 -0.1015625 -0.20019531 0.025878906 0.096191406 -0.118652344 0.19921875 0.05102539 0.21972656 -0.0011825562 -0.071777344 -0.3359375 0.16699219 -0.017822266 -0.27734375 -0.020385742 0.2890625 0.03173828 0.068359375 0.11621094 -0.006866455 -0.13964844 -0.01940918 -0.026367188 0.018310547 0.096191406 0.15722656 0.21191406 -0.083984375 -0.03173828 -0.21972656 0.111816406 -0.17285156 -0.067871094 0.020507812 0.14941406 0.22460938 -0.23144531 0.079589844 -0.060302734 0.046142578 -0.05834961 -0.10449219 0.07324219 -0.09667969 0.15234375 0.05908203 0.03564453 0.063964844 -0.095703125 -0.17675781 -0.103027344 -0.15820312
HtmlParser	
HtmlSchema	
Html	0.16992188 -0.171875 -0.14648438 0.13476562 -0.15722656 0.17578125 0.037109375 -0.047607422 0.075683594 -0.0154418945 -0.13671875 -0.033691406 -0.1953125 -0.005584717 -0.07421875 -0.015014648 0.3359375 0.26171875 -0.049804688 -0.14648438 0.067871094 0.17382812 0.035888672 0.11425781 -0.14453125 0.044433594 -0.09863281 0.25195312 0.26953125 -0.21582031 -0.39257812 0.04321289 -0.09667969 -0.16992188 0.04248047 0.05029297 0.14453125 -0.029418945 -0.0107421875 -0.053710938 0.02368164 -0.07470703 0.17675781 0.11230469 -0.041748047 -0.0859375 -0.27148438 0.05419922 -0.16601562 0.052001953 -0.33203125 0.080078125 0.12890625 -0.013671875 -0.13183594 0.265625 -0.03466797 -0.04248047 -0.017333984 -0.04321289 0.17871094 0.055419922 -0.106933594 -0.010253906 -0.1171875 0.08300781 0.0053710938 0.12060547 -0.08105469 0.3125 0.2265625 0.13574219 -0.30664062 -0.26757812 -0.11328125 -0.041015625 0.14257812 -0.17480469 0.035888672 0.010009766 -0.088378906 0.055419922 -0.009094238 0.033691406 0.31640625 -0.18261719 0.125 0.004272461 0.033447266 -0.010925293 -0.35546875 0.010620117 0.018920898 -0.05444336 0.021728516 0.12597656 -0.017211914 0.020996094 0.23730469 0.16503906 0.19140625 0.055419922 0.060058594 -0.125 -0.08691406 0.34570312 -0.07470703 0.10595703 0.075683594 -0.037353516 -0.06640625 -0.013427734 -0.16992188 -0.16308594 0.46289062 0.17871094 0.018676758 -0.1015625 0.23242188 -0.15332031 -0.04638672 -0.12695312 -0.056640625 -0.017944336 0.30664062 -0.125 -0.13769531 0.19628906 0.12597656 -0.1953125 -0.0625 -0.0703125 0.067871094 -0.08251953 -0.12597656 0.05126953 -0.17578125 -0.2265625 0.23046875 0.015991211 0.060546875 -0.18359375 0.036621094 -0.011108398 -0.0234375 -0.12158203 0.24511719 0.11621094 0.022094727 -0.3671875 -0.011230469 -0.10595703 -0.106933594 -0.075683594 -0.13183594 -0.140625 -0.15332031 0.119140625 -0.2109375 0.04736328 -0.014709473 0.1875 -0.17871094 0.14550781 0.15917969 -0.19238281 0.07861328 0.055419922 -0.14257812 0.021362305 -0.18164062 0.01373291 -0.026000977 -0.05419922 0.07421875 0.18261719 0.09375 -0.25976562 0.09814453 -0.16113281 -0.13183594 -0.025146484 0.076171875 -0.09423828 -0.044433594 0.14648438 -0.018920898 -0.072753906 0.05029297 0.11621094 0.014099121 0.14355469 -0.0037078857 -0.13085938 0.115722656 0.10205078 -0.048828125 -0.12451172 0.036621094 -0.1484375 -0.0390625 0.1875 -0.10107422 0.25585938 0.095703125 0.10498047 -0.08642578 -0.19921875 -0.10986328 0.118652344 -0.036621094 0.033935547 -0.15820312 0.13867188 -0.14648438 0.042236328 0.17382812 0.06542969 -0.07128906 -0.109375 -0.05810547 -0.1328125 -0.07519531 -0.005706787 -0.07519531 -0.16601562 -0.1640625 0.08691406 -0.044921875 -0.083984375 -0.14257812 0.05029297 0.3125 -0.09667969 -0.03564453 -0.03564453 0.15136719 -0.039794922 0.0028686523 0.12060547 0.010864258 -0.023071289 -0.034179688 -0.15039062 -0.012451172 -0.07324219 -0.17675781 0.44726562 -0.25585938 -0.20800781 0.06347656 0.3125 -0.0067749023 -0.01965332 0.034423828 -0.20410156 -0.265625 -0.060058594 0.05102539 0.019165039 0.31445312 0.15136719 0.24804688 -0.088378906 -0.05053711 -0.057861328 0.03491211 -0.17089844 0.07080078 -0.27539062 0.125 0.21191406 -0.22949219 -0.036132812 0.072265625 -0.104003906 -0.034179688 -0.123046875 0.07128906 0.10888672 -0.08496094 0.36328125 -0.12109375 -0.12792969 0.015258789 -0.030517578 0.036865234 0.020019531 0.17773438 0.06689453 0.13964844 0.056640625 0.027832031 0.18359375 0.048095703 0.010559082 -0.087402344 -0.25 -0.16796875 0.14355469
Parser	0.11376953 -0.20605469 0.029052734 -0.28710938 -0.0022277832 0.103027344 0.032226562 0.033691406 0.064453125 -0.024047852 -0.06689453 0.25195312 -0.083496094 -0.07324219 -0.011108398 -0.21875 0.21582031 0.01184082 -0.24414062 -0.25390625 0.015991211 0.42382812 -0.013244629 0.171875 0.048339844 -0.037841797 0.017333984 0.16308594 0.009399414 -0.052001953 -0.047851562 0.0025482178 -0.091308594 -0.30664062 -0.06933594 -0.08886719 0.09082031 0.1015625 0.1171875 -0.14355469 0.049072266 0.032958984 0.14941406 0.23828125 0.11376953 -0.2734375 -0.39453125 -0.24121094 -0.013305664 0.18164062 -0.40820312 -0.08105469 0.09423828 -0.026245117 0.08251953 0.28320312 0.018066406 -0.25195312 -0.064941406 -0.07763672 0.038330078 0.057128906 -0.057128906 0.0028686523 -0.09472656 -0.23144531 0.15722656 0.030273438 0.09375 -0.011047363 0.0703125 -0.17480469 -0.16308594 -0.12402344 0.10205078 -0.328125 0.21484375 -0.34375 0.22753906 0.017089844 0.16210938 0.19628906 0.07910156 0.04711914 0.107910156 -0.015136719 0.18359375 -0.014099121 0.078125 -0.24316406 -0.046142578 -0.038330078 0.119140625 0.115234375 0.05102539 -0.014343262 -0.014953613 -0.083984375 0.23144531 0.010681152 0.048095703 -0.045166016 0.030517578 -0.10253906 -0.25976562 0.24023438 -0.390625 0.27929688 -0.19042969 0.18554688 -0.05102539 -0.17480469 -0.045654297 -0.15136719 0.19824219 0.080566406 -0.19335938 0.103515625 0.22851562 -0.08496094 -0.04272461 0.17675781 -0.095703125 0.087402344 0.15039062 0.09765625 -0.34375 0.26171875 0.122558594 -0.027832031 -0.10839844 -0.068359375 -0.099121094 -0.037597656 -0.087402344 -0.100097656 0.06347656 -0.13476562 0.2578125 0.20898438 0.10839844 -0.10058594 0.08251953 -0.024658203 -0.15332031 -0.12597656 0.040771484 0.24902344 0.01965332 -0.2578125 0.21386719 -0.0625 0.13085938 0.00491333 0.18164062 -0.30664062 -0.42578125 0.20605469 -0.1328125 -0.21777344 0.06542969 0.033203125 -0.026489258 0.05419922 -0.111816406 0.020996094 0.125 0.02331543 -0.26757812 0.16503906 0.04663086 -0.024414062 -0.09082031 -0.17285156 0.24316406 0.0115356445 0.24414062 -0.33398438 0.110839844 -0.27929688 -0.12988281 -0.002166748 -0.092285156 -0.0017776489 0.072753906 0.20703125 0.122558594 -0.06298828 -0.001739502 -0.12011719 -0.18359375 -0.030517578 -0.103515625 0.13085938 -0.013183594 0.03149414 -0.114746094 -0.20898438 -0.061767578 -0.15039062 -0.13671875 0.16601562 0.11376953 0.12158203 -0.09814453 0.19042969 -0.09326172 -0.015380859 -0.015991211 0.036621094 -0.010864258 -0.014160156 -0.19335938 0.20898438 -0.20117188 0.076171875 0.038330078 0.044677734 -0.084472656 -0.19433594 -0.24511719 0.24804688 -0.23046875 -0.15039062 -0.09667969 -0.15332031 -0.125 0.17480469 0.06298828 0.037109375 -0.0059814453 0.17480469 0.10107422 -0.13183594 -0.12988281 -0.103515625 0.06298828 0.171875 0.088378906 -0.029174805 -0.19726562 0.103515625 0.007171631 -0.025878906 0.16308594 -0.20117188 -0.107910156 0.43945312 0.0390625 -0.028564453 0.004852295 0.042236328 -0.22167969 -0.0029907227 0.048095703 -0.059326172 -0.17480469 0.06689453 0.0032348633 -0.1796875 0.31445312 0.04638672 0.059326172 -0.25976562 -0.064941406 -0.0703125 0.15625 -0.07763672 -0.051757812 -0.24804688 0.14355469 0.028320312 -0.28515625 -0.0030212402 -0.07373047 -0.10644531 0.099121094 -0.029296875 0.017089844 -0.051513672 -0.15234375 0.23828125 -0.22558594 -0.12109375 0.30078125 -0.038330078 -0.1328125 -0.033935547 0.048095703 0.24121094 -0.016723633 0.10058594 0.023803711 0.1328125 0.100097656 -0.048583984 -0.09716797 -0.12890625 -0.15722656 0.31445312
Html	0.16992188 -0.171875 -0.14648438 0.13476562 -0.15722656 0.17578125 0.037109375 -0.047607422 0.075683594 -0.0154418945 -0.13671875 -0.033691406 -0.1953125 -0.005584717 -0.07421875 -0.015014648 0.3359375 0.26171875 -0.049804688 -0.14648438 0.067871094 0.17382812 0.035888672 0.11425781 -0.14453125 0.044433594 -0.09863281 0.25195312 0.26953125 -0.21582031 -0.39257812 0.04321289 -0.09667969 -0.16992188 0.04248047 0.05029297 0.14453125 -0.029418945 -0.0107421875 -0.053710938 0.02368164 -0.07470703 0.17675781 0.11230469 -0.041748047 -0.0859375 -0.27148438 0.05419922 -0.16601562 0.052001953 -0.33203125 0.080078125 0.12890625 -0.013671875 -0.13183594 0.265625 -0.03466797 -0.04248047 -0.017333984 -0.04321289 0.17871094 0.055419922 -0.106933594 -0.010253906 -0.1171875 0.08300781 0.0053710938 0.12060547 -0.08105469 0.3125 0.2265625 0.13574219 -0.30664062 -0.26757812 -0.11328125 -0.041015625 0.14257812 -0.17480469 0.035888672 0.010009766 -0.088378906 0.055419922 -0.009094238 0.033691406 0.31640625 -0.18261719 0.125 0.004272461 0.033447266 -0.010925293 -0.35546875 0.010620117 0.018920898 -0.05444336 0.021728516 0.12597656 -0.017211914 0.020996094 0.23730469 0.16503906 0.19140625 0.055419922 0.060058594 -0.125 -0.08691406 0.34570312 -0.07470703 0.10595703 0.075683594 -0.037353516 -0.06640625 -0.013427734 -0.16992188 -0.16308594 0.46289062 0.17871094 0.018676758 -0.1015625 0.23242188 -0.15332031 -0.04638672 -0.12695312 -0.056640625 -0.017944336 0.30664062 -0.125 -0.13769531 0.19628906 0.12597656 -0.1953125 -0.0625 -0.0703125 0.067871094 -0.08251953 -0.12597656 0.05126953 -0.17578125 -0.2265625 0.23046875 0.015991211 0.060546875 -0.18359375 0.036621094 -0.011108398 -0.0234375 -0.12158203 0.24511719 0.11621094 0.022094727 -0.3671875 -0.011230469 -0.10595703 -0.106933594 -0.075683594 -0.13183594 -0.140625 -0.15332031 0.119140625 -0.2109375 0.04736328 -0.014709473 0.1875 -0.17871094 0.14550781 0.15917969 -0.19238281 0.07861328 0.055419922 -0.14257812 0.021362305 -0.18164062 0.01373291 -0.026000977 -0.05419922 0.07421875 0.18261719 0.09375 -0.25976562 0.09814453 -0.16113281 -0.13183594 -0.025146484 0.076171875 -0.09423828 -0.044433594 0.14648438 -0.018920898 -0.072753906 0.05029297 0.11621094 0.014099121 0.14355469 -0.0037078857 -0.13085938 0.115722656 0.10205078 -0.048828125 -0.12451172 0.036621094 -0.1484375 -0.0390625 0.1875 -0.10107422 0.25585938 0.095703125 0.10498047 -0.08642578 -0.19921875 -0.10986328 0.118652344 -0.036621094 0.033935547 -0.15820312 0.13867188 -0.14648438 0.042236328 0.17382812 0.06542969 -0.07128906 -0.109375 -0.05810547 -0.1328125 -0.07519531 -0.005706787 -0.07519531 -0.16601562 -0.1640625 0.08691406 -0.044921875 -0.083984375 -0.14257812 0.05029297 0.3125 -0.09667969 -0.03564453 -0.03564453 0.15136719 -0.039794922 0.0028686523 0.12060547 0.010864258 -0.023071289 -0.034179688 -0.15039062 -0.012451172 -0.07324219 -0.17675781 0.44726562 -0.25585938 -0.20800781 0.06347656 0.3125 -0.0067749023 -0.01965332 0.034423828 -0.20410156 -0.265625 -0.060058594 0.05102539 0.019165039 0.31445312 0.15136719 0.24804688 -0.088378906 -0.05053711 -0.057861328 0.03491211 -0.17089844 0.07080078 -0.27539062 0.125 0.21191406 -0.22949219 -0.036132812 0.072265625 -0.104003906 -0.034179688 -0.123046875 0.07128906 0.10888672 -0.08496094 0.36328125 -0.12109375 -0.12792969 0.015258789 -0.030517578 0.036865234 0.020019531 0.17773438 0.06689453 0.13964844 0.056640625 0.027832031 0.18359375 0.048095703 0.010559082 -0.087402344 -0.25 -0.16796875 0.14355469
Schema	0.12792969 -0.07910156 -0.13183594 -0.13867188 -0.12451172 -0.040039062 0.26367188 0.01184082 -0.16015625 -0.052246094 0.20605469 0.10498047 -0.22070312 -0.083496094 -0.18164062 -0.01940918 0.3984375 0.21679688 -0.22460938 -0.17382812 -0.042236328 0.16210938 -0.2578125 0.38085938 -0.0012283325 0.018920898 0.13476562 0.47265625 0.16210938 -0.26171875 0.21679688 -0.31054688 -0.03466797 -0.13378906 -0.05834961 -0.26757812 0.087890625 0.12109375 0.18457031 0.026611328 0.21875 0.0034942627 0.18066406 0.15917969 -0.15039062 -0.25585938 0.07861328 -0.37890625 -0.044189453 0.107910156 -0.31835938 0.0053100586 -0.28125 -0.119140625 0.064941406 0.36523438 0.1640625 0.14257812 0.09863281 0.43164062 0.052246094 0.041992188 0.0062561035 0.04345703 -0.46875 0.24707031 0.12792969 -0.15722656 -0.13671875 0.061523438 0.15234375 0.096191406 -0.080566406 -0.16113281 -0.032226562 -0.20410156 0.25195312 -0.26171875 0.2890625 0.10253906 -0.17089844 0.07128906 -0.057617188 -0.10644531 0.057128906 0.026611328 0.22753906 0.05810547 0.03515625 -0.09765625 -0.15917969 -0.22460938 -0.26953125 0.125 0.055908203 -0.05029297 0.16210938 -0.34179688 0.047851562 -0.12695312 0.140625 -2.0384789e-05 -0.29882812 -0.01574707 -0.29492188 0.38867188 0.009765625 0.39648438 -0.1015625 0.22949219 -0.040771484 -0.14355469 0.05419922 -0.2734375 0.031982422 0.07910156 -0.23144531 -0.14746094 0.17871094 -0.24902344 -0.13378906 0.12207031 -0.34570312 -0.010681152 0.010559082 -0.09716797 -0.34960938 0.28320312 -0.2109375 -0.115234375 -0.13183594 0.203125 -0.11035156 0.07714844 0.08544922 0.14355469 0.051757812 -0.048583984 0.05078125 0.1875 0.21289062 0.22265625 -0.20410156 0.16308594 -0.12890625 0.09472656 -0.04248047 0.22753906 0.083496094 0.0049438477 0.265625 0.14453125 0.0016555786 -0.0024719238 0.33007812 -0.24707031 -0.10839844 0.29492188 0.046142578 -0.34960938 -0.030151367 -0.04272461 -0.15234375 -0.0006713867 0.032958984 0.021728516 -0.25585938 0.60546875 -0.107910156 0.13476562 -0.203125 -0.16503906 -0.061523438 -0.25976562 0.18652344 0.18261719 0.38476562 0.044433594 0.05419922 -0.3125 -0.25585938 -0.036621094 0.027954102 0.00061416626 0.03930664 -0.0099487305 0.011657715 -0.12890625 -0.064453125 -0.265625 -0.22363281 -0.35351562 0.07128906 -0.08691406 -0.23144531 0.123046875 0.19628906 0.091308594 0.01171875 -0.061035156 0.01586914 -0.0008354187 0.007080078 -0.019165039 -0.25585938 0.115234375 0.14355469 -0.0056152344 0.34960938 -0.040771484 -0.24023438 0.035888672 -0.1484375 -0.18261719 -0.15039062 -0.18847656 0.044189453 0.22949219 0.25195312 -0.18554688 -0.06689453 0.07324219 -0.25390625 0.014587402 -0.25976562 -0.13476562 -0.23730469 0.28710938 0.013671875 0.15136719 -0.2109375 0.21972656 -0.28710938 0.15820312 0.048095703 0.037597656 0.06298828 0.29492188 0.05517578 0.1484375 -0.026733398 -0.17089844 0.083984375 0.045410156 -0.03857422 -0.3046875 0.15332031 0.34375 -0.10595703 -0.111328125 -0.22363281 0.1953125 -0.328125 0.078125 0.2265625 -0.29492188 -0.39648438 -0.061035156 -0.13867188 -0.12207031 0.41210938 0.119628906 -0.08642578 -0.034423828 -0.10498047 -0.024414062 0.0016098022 0.12695312 -0.11621094 -0.25195312 0.0703125 -0.08251953 -0.359375 0.140625 -0.103027344 0.071777344 0.15234375 0.30078125 0.071777344 -0.21582031 -0.21777344 0.13671875 -0.099121094 -0.26171875 0.3125 -0.13183594 -0.053710938 0.0005187988 -0.22949219 0.33203125 -0.1328125 0.029052734 -0.0625 0.27929688 0.063964844 -0.115722656 0.053955078 0.27929688 -0.005859375 0.23144531

TagSoup	
HTMLSchema	
